"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.122549959181878,0.877450040818122,2,0
2,0.473499644401482,0.526500355598518,0,2
3,0.366327381752805,0.633672618247195,3,1
4,0.329426802845101,0.670573197154899,1,0
5,0.0763722238391646,0.923627776160835,1,8
6,0.560695987944153,0.439304012055847,9,3
7,0.406155752478002,0.593844247521998,9,6
8,0.233455388714992,0.766544611285008,3,1
9,0.134342821827482,0.865657178172518,0,0
10,0.511086890555729,0.488913109444271,3,0
11,0.762658981380687,0.237341018619313,11,2
12,0.550983016368276,0.449016983631724,90,42
13,0.574043705293349,0.425956294706651,4,3
14,0.296984478905375,0.703015521094625,1,0
15,0.254762106060935,0.745237893939064,0,0
16,0.292247289852626,0.707752710147374,2,0
17,0.238469354328414,0.761530645671586,7,7
18,0.497393518552614,0.502606481447386,21,7
19,0.458896381705954,0.541103618294046,7,1
20,0.153884141884506,0.846115858115494,0,4
21,0.48565728180227,0.51434271819773,0,0
22,0.634547071721447,0.365452928278553,2,0
23,0.220262195048898,0.779737804951102,0,2
24,0.143309869173441,0.856690130826559,3,0
25,0.172627570488467,0.827372429511533,2,6
26,0.686240382299347,0.313759617700653,18,2
27,0.0664638925860683,0.933536107413932,0,0
28,0.13006920545436,0.86993079454564,1,1
29,0.499509853805331,0.500490146194669,1,0
30,0.122154702334916,0.877845297665084,3,0
31,0.798615606380836,0.201384393619164,37,5
32,0.111509729259209,0.888490270740792,1,4
33,0.507333585558457,0.492666414441542,39,9
34,0.243815677357657,0.756184322642343,15,14
35,0.267488635666556,0.732511364333444,3,1
36,0.329319084127691,0.670680915872309,9,5
37,0.0687078468861626,0.931292153113837,1,7
38,0.301345390186715,0.698654609813286,0,0
39,0.187779510082017,0.812220489917983,6,3
40,0.386777230680301,0.613222769319699,110,50
41,0.980277040286601,0.0197229597133994,35,1
43,0.0451735308581096,0.95482646914189,13,53
99,0.924725220854128,0.0752747791458719,16,1
