"County","Metropolitan","Town","Rural"
"AleutiansEastBorough",0,0,1
"AleutiansWestCensusArea",0,0,1
"AnchorageMunicipality",0.8609,0.0979,0.0412
"BethelCensusArea",0,0.2606,0.7394
"BristolBayBorough",0,0,1
"DenaliBorough",0,0,1
"DillinghamCensusArea",0,0,1
"FairbanksNorthStarBorough",0.6611,0.0302,0.3087
"HainesBorough",0,0,1
"HoonahAngoonCensusArea",0,0,1
"JuneauCityandBorough",0,0.7846,0.2154
"KenaiPeninsulaBorough",0,0.2066,0.7934
"KetchikanGatewayBorough",0,0.7681,0.2319
"KodiakIslandBorough",0,0.6868,0.3132
"LakeandPeninsulaBorough",0,0,1
"MatanuskaSusitnaBorough",0,0.4971,0.5029
"NomeCensusArea",0,0.3394,0.6606
"NorthSlopeBorough",0,0.4067,0.5933
"NorthwestArcticBorough",0,0.4254,0.5746
"PetersburgCensusArea",0,0,1
"PrinceofWalesHyderCensusArea",0,0,1
"SitkaCityandBorough",0,0.7912,0.2088
"SkagwayMunicipality",0,0,1
"SoutheastFairbanksCensusArea",0,0,1
"ValdezCordovaCensusArea",0,0,1
"WadeHamptonCensusArea",0,0,1
"WrangellCityandBorough",0,0,1
"YakutatCityandBorough",0,0,1
"YukonKoyukukCensusArea",0,0,1
