Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
HighDenRate,AnnistonOxford,,,,,,,,,,,,,
MedDenRate,AnnistonOxford,,,,,,,,,,,,,
HighDenRate,Birmingham,,,,,,,,,,,,,
MedDenRate,Birmingham,,,,,,,,,,,,,
HighDenRate,Columbus,,,,,,,,,,,,,
MedDenRate,Columbus,,,,,,,,,,,,,
HighDenRate,Decatur,,,,,,,,,,,,,
MedDenRate,Decatur,,,,,,,,,,,,,
HighDenRate,Dothan,,,,,,,,,,,,,
MedDenRate,Dothan,,,,,,,,,,,,,
HighDenRate,Florence,,,,,,,,,,,,,
MedDenRate,Florence,,,,,,,,,,,,,
HighDenRate,Huntsville,,,,,,,,,,,,,
MedDenRate,Huntsville,,,,,,,,,,,,,
HighDenRate,Mobile,,,,,,,,,,,,,
MedDenRate,Mobile,,,,,,,,,,,,,
HighDenRate,Montgomery,,,,,,,,,,,,,
MedDenRate,Montgomery,,,,,,,,,,,,,
HighDenRate,Pensacola,,,,,,,,,,,,,
MedDenRate,Pensacola,,,,,,,,,,,,,
HighDenRate,Tuscaloosa,,,,,,,,,,,,,
MedDenRate,Tuscaloosa,,,,,,,,,,,,,
