Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Access,AnnistonOxford,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,AnnistonOxford,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,AnnistonOxford,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,AnnistonOxford,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Dothan,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Dothan,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Dothan,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Dothan,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0
