Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtSmooth,AnnistonOxford,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,AnnistonOxford,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,AnnistonOxford,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,AnnistonOxford,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Dothan,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Dothan,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Dothan,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Dothan,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0
