Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtSmooth,Conway,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Conway,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Conway,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Conway,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,FayettevilleSpringdaleRogers,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,FayettevilleSpringdaleRogers,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,FayettevilleSpringdaleRogers,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,FayettevilleSpringdaleRogers,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,FortSmith,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,FortSmith,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,FortSmith,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,FortSmith,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,HotSprings,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,HotSprings,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,HotSprings,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,HotSprings,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Jonesboro,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Jonesboro,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Jonesboro,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Jonesboro,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,LittleRock,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,LittleRock,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,LittleRock,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,LittleRock,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,PineBluff,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,PineBluff,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,PineBluff,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,PineBluff,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,TexarkanaTexarkana,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,TexarkanaTexarkana,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,TexarkanaTexarkana,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,TexarkanaTexarkana,0,0,0,0,0,0,0,0,0,0,0,0,0
