County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AlamedaCounty,283268,100394,220646,564715,173502,167746
AlpineCounty,220,55,101,398,235,166
AmadorCounty,4967,2288,3426,12749,6796,7865
ButteCounty,37759,17841,37539,64166,28878,33817
CalaverasCounty,7001,2893,3712,13949,8458,9565
ColusaCounty,5266,1773,2727,6785,2373,2495
ContraCostaCounty,213747,73766,124690,377626,128758,130438
DelNorteCounty,4988,1870,3880,10282,3717,3873
ElDoradoCounty,33145,12522,17640,63111,28116,26524
FresnoCounty,229429,81306,145785,291655,88854,93421
GlennCounty,6520,2156,3588,8870,3251,3737
HumboldtCounty,22304,9531,22621,43069,19373,17725
ImperialCounty,41903,15047,25699,57124,16603,18152
InyoCounty,3189,1087,1906,5909,2920,3535
KernCounty,210052,72493,128969,275395,77285,75437
KingsCounty,35765,11356,26582,54325,12924,12030
LakeCounty,11095,4190,6708,20607,10625,11440
LassenCounty,5073,2107,6174,13954,4113,3474
LosAngelesCounty,1958328,753630,1512390,3515402,1013156,1065699
MaderaCounty,35494,12224,21573,48479,15833,17262
MarinCounty,43654,12798,22268,91409,40088,42192
MariposaCounty,2583,1026,1655,5883,3283,3821
MendocinoCounty,15996,5613,10359,27963,14417,13493
MercedCounty,66508,24451,38385,79844,22645,23960
ModocCounty,1711,604,868,2964,1634,1905
MonoCounty,2491,820,2395,5227,1892,1377
MontereyCounty,92161,32624,64544,138088,43218,44422
NapaCounty,25747,9473,16808,46019,17843,20594
NevadaCounty,15113,6091,9278,31126,17982,19174
OrangeCounty,600655,227689,428963,1081394,321854,349677
PlacerCounty,69441,24298,37496,119517,44118,53562
PlumasCounty,2873,1293,1777,5985,3925,4154
RiversideCounty,507147,187125,298564,724480,213739,258586
SacramentoCounty,298995,105680,209830,490095,155637,158551
SanBenitoCounty,13127,4534,6916,19392,5940,5360
SanBernardinoCounty,484950,179627,306385,685857,197043,181348
SanDiegoCounty,596168,225095,521487,1071522,329616,351425
SanFranciscoCounty,89964,34606,148774,325453,96596,109842
SanJoaquinCounty,165203,58382,94681,227162,68697,71181
SanLuisObispoCounty,41317,21727,44710,83745,37116,41022
SanMateoCounty,133552,41249,88418,269783,89187,96262
SantaBarbaraCounty,80279,38009,74126,132068,45015,54398
SantaClaraCounty,359962,114544,246661,677985,185546,196944
SantaCruzCounty,45463,21834,41988,88004,35935,29158
ShastaCounty,32199,12439,21529,55583,25506,29967
SierraCounty,434,170,244,1023,693,676
SiskiyouCounty,7609,2757,4452,13449,7851,8782
SolanoCounty,82738,30484,57357,144691,51227,46847
SonomaCounty,87186,33298,63798,163688,68544,67364
StanislausCounty,121068,42807,73593,170004,52150,54831
SutterCounty,21591,7377,12814,30860,10105,11990
TehamaCounty,13166,4654,7308,20006,8258,10071
TrinityCounty,2002,789,1185,4344,2697,2769
TulareCounty,119950,39043,64713,136639,40055,41779
TuolumneCounty,7749,3210,6136,17507,9469,11294
VenturaCounty,172696,64407,110436,285994,93476,96309
YoloCounty,37505,19318,42326,61770,20159,19771
YubaCounty,17636,5466,10775,23456,7567,7255
