Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PkgCost,Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Chico,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Chico,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Chico,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Chico,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Chico,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Hanford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Hanford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Hanford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Hanford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Hanford,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,LosAngelesLongBeachAnaheim,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,LosAngelesLongBeachAnaheim,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,LosAngelesLongBeachAnaheim,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,LosAngelesLongBeachAnaheim,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,LosAngelesLongBeachAnaheim,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Modesto,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Modesto,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Modesto,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Modesto,0,0,0,0,0,0,0,0,0,0,0,0,0
