Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Bakersfield,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Bakersfield,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Chico,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Chico,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Chico,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Chico,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Fresno,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Fresno,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Hanford,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Hanford,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Hanford,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Hanford,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,LosAngelesLongBeachAnaheim,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,LosAngelesLongBeachAnaheim,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,LosAngelesLongBeachAnaheim,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,LosAngelesLongBeachAnaheim,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Modesto,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Modesto,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Modesto,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Modesto,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Redding,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Redding,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Redding,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Redding,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Reno,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Reno,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Reno,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Reno,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Sacramento,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Sacramento,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Sacramento,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Sacramento,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,SanFranciscoOakland,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,SanFranciscoOakland,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,SanFranciscoOakland,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,SanFranciscoOakland,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,SantaRosa,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,SantaRosa,0,0,0,0,0,0,0,0,0,0,0,0,0
