County,Metropolitan,Town
AdamsCounty,1,1
AlamosaCounty,1,1
ArapahoeCounty,1,1
ArchuletaCounty,1,1
BacaCounty,1,1
BentCounty,1,1
BoulderCounty,1,1
BroomfieldCounty,1,1
ChaffeeCounty,1,1
CheyenneCounty,1,1
ClearCreekCounty,1,1
ConejosCounty,1,1
CostillaCounty,1,1
CrowleyCounty,1,1
CusterCounty,1,1
DeltaCounty,1,1
DenverCounty,1,1
DoloresCounty,1,1
DouglasCounty,1,1
EagleCounty,1,1
ElPasoCounty,1,1
ElbertCounty,1,1
FremontCounty,1,1
GarfieldCounty,1,1
GilpinCounty,1,1
GrandCounty,1,1
GunnisonCounty,1,1
HinsdaleCounty,1,1
HuerfanoCounty,1,1
JacksonCounty,1,1
JeffersonCounty,1,1
KiowaCounty,1,1
KitCarsonCounty,1,1
LaPlataCounty,1,1
LakeCounty,1,1
LarimerCounty,1,1
LasAnimasCounty,1,1
LincolnCounty,1,1
LoganCounty,1,1
MesaCounty,1,1
MineralCounty,1,1
MoffatCounty,1,1
MontezumaCounty,1,1
MontroseCounty,1,1
MorganCounty,1,1
OteroCounty,1,1
OurayCounty,1,1
ParkCounty,1,1
PhillipsCounty,1,1
PitkinCounty,1,1
ProwersCounty,1,1
PuebloCounty,1,1
RioBlancoCounty,1,1
RioGrandeCounty,1,1
RouttCounty,1,1
SaguacheCounty,1,1
SanJuanCounty,1,1
SanMiguelCounty,1,1
SedgwickCounty,1,1
SummitCounty,1,1
TellerCounty,1,1
WashingtonCounty,1,1
WeldCounty,1,1
YumaCounty,1,1
