"FAFZone","FairfieldCounty","HartfordCounty","LitchfieldCounty","MiddlesexCounty","NewHavenCounty","NewLondonCounty","TollandCounty","WindhamCounty"
"11",1041.39,1098.86,1073.5,1094.29,1067.1,1110.81,1117.57,1138.71
"12",1272.75,1330.2,1304.85,1325.65,1298.45,1342.15,1348.9,1370.05
"19",1094.94909090909,1152.41272727273,1127.05454545455,1147.84727272727,1120.65454545455,1164.36363636364,1171.13636363636,1192.26545454545
"20",1428.65172413793,1457.10344827586,1440.49310344828,1459.18965517241,1444.94482758621,1472.46896551724,1469.1724137931,1483.01724137931
"41",2515.25,2576.3,2550.95,2579.45,2557.75,2584.65,2594.7,2615.85
"42",2499.375,2560.45,2535.075,2563.65,2541.85,2568.8,2578.85,2599.975
"49",2464.64090909091,2525.69545454546,2500.34090909091,2528.88636363636,2507.12272727272,2534.04090909091,2544.11818181818,2565.23181818182
"50",1327.556,1388.24733333333,1362.88533333333,1384.62333333333,1355.71466666666,1396.96133333334,1406.58933333334,1427.71066666667
"61",2848.62,2895.58,2870.24,2898.76,2877.02,2916.02,2914,2935.12
"62",2864.04285714286,2907.45714285714,2882.1,2910.65714285714,2888.88571428571,2930.9,2925.88571428571,2946.98571428571
"63",2877.6,2938.6,2913.3,2941.8,2920,2947,2957,2978.1
"64",2978.74166666666,3022.15833333334,2996.79166666667,3025.34166666666,3003.59166666666,3045.60833333333,3040.57916666666,3061.69166666666
"65",3002.8,3046.2,3020.85,3049.4,3027.65,3069.65,3064.6,3085.75
"69",2939.47096774194,2983.45806451613,2958.11935483871,2986.64677419355,2964.9064516129,3006.43548387097,3001.89193548387,3023.0129032258
"81",1854.57916666667,1900.95,1875.57916666667,1904.14166666667,1882.37916666667,1921.87083333333,1919.36666666667,1940.47916666666
"89",1943.34038461539,1995.7173076923,1970.35576923077,1998.91346153846,1977.14230769231,2011.0673076923,2014.13269230769,2035.25096153846
"101",205.4,265.4,247.1,258.3,231.1,274.8,281.6,302.7
"109",261.6,321.6,303.3,314.5,287.3,331,337.8,359
"111",285.7,345.7,327.4,338.6,311.4,355.1,361.9,383
"121",1032.48333333333,1092.45,1074.18333333333,1085.38333333333,1058.18333333333,1101.88333333333,1108.68333333333,1129.78333333333
"122",1274.7,1334.64285714286,1316.4,1327.6,1300.4,1344.1,1350.9,1372.01428571429
"123",1128.1,1188.08571428571,1169.82857142857,1181,1153.82857142857,1197.55714285714,1204.28571428571,1225.45714285714
"124",1194.5,1254.45,1236.2,1247.4,1220.2,1263.9,1270.7,1291.8
"129",1197.52906976744,1256.84767441861,1236.77093023256,1250.42441860465,1223.22674418605,1266.93372093023,1273.71279069768,1294.83372093023
"131",947.553846153846,1005.01794871795,979.65641025641,1000.45897435897,973.258974358974,1016.9641025641,1023.74358974359,1044.86666666667
"132",895.483333333333,955.433333333333,943.4,948.383333333333,921.183333333333,964.883333333333,971.683333333333,992.783333333333
"139",992.026754385965,1050.85350877193,1027.00175438596,1044.92631578947,1017.72675438597,1061.43640350877,1068.21754385965,1089.33464912281
"151",,,,,,,,
"159",,,,,,,,
"160",2475.9625,2519.38977272728,2494.02613636364,2522.57159090909,2500.81477272727,2542.82840909091,2537.81022727273,2558.92159090909
"171",897.730769230769,941.138461538461,915.815384615385,944.330769230769,922.607692307692,964.615384615385,959.607692307692,980.707692307692
"172",1013.7,1074.75555555556,1049.42222222222,1077.94444444444,1056.17777777778,1083.12222222222,1093.17777777778,1114.28888888889
"179",982.41,1039.100625,1013.735,1039.70125,1016.65125,1051.0025,1056.694375,1077.81375
"181",831.54,874.94,849.6,878.14,856.38,898.4,893.38,914.5
"182",785.377777777778,845.8,820.411111111111,844.716666666667,820.755555555556,854.788888888889,862.172222222222,883.294444444444
"183",713.9875,757.4125,732.05,760.6,738.85,780.85,775.85,796.95
"189",811.066393442622,868.21393442623,842.852459016394,864.726229508196,840.818852459017,879.680327868852,883.990983606558,905.116393442623
"190",1205.18333333333,1248.5994949495,1223.24393939393,1251.79040404041,1230.02727272727,1272.05303030304,1267.01565656566,1288.14494949494
"201",1304.41111111111,1365.48888888889,1340.11111111111,1368.67777777778,1346.91111111111,1373.82222222222,1383.9,1405.01111111111
"202",1471.01666666667,1532.08333333333,1506.71666666667,1535.26666666667,1513.51666666667,1540.41666666667,1550.51666666667,1571.61666666667
"209",1511.65055555556,1571.13833333334,1545.77833333334,1574.32944444445,1552.57277777778,1581.13388888888,1589.56111111111,1610.68166666667
"211",731.9125,795.9875,770.6625,784.8125,757.6125,801.3125,808.1,829.2125
"212",817.963636363636,880.436363636364,855.1,870.872727272727,843.663636363636,887.372727272727,894.163636363636,915.272727272727
"219",839.927227722772,900.24900990099,874.886633663366,892.825247524753,865.626237623762,909.337128712871,916.117326732673,937.235148514851
"221",1420.03333333333,1477.51111111111,1452.13333333333,1472.93333333333,1445.73333333333,1489.44444444444,1496.23333333333,1517.35555555556
"222",1575.5,1632.9,1607.55,1628.4,1601.15,1644.9,1651.65,1672.8
"223",1382.91,1440.38,1415.01,1435.81,1408.61,1452.31,1459.1,1480.21
"229",1449.27441860465,1506.74418604651,1481.37790697675,1502.17790697674,1474.98139534884,1518.68837209302,1525.46627906977,1546.59069767441
"230",367.43125,301.66875,339.13125,325.46875,335.3875,304.95,281.68125,273.25
