"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.122549959181878,0.877450040818122,0,1
2,0.473499644401482,0.526500355598518,5,0
3,0.816130240302638,0.183869759697362,33,6
4,0.329426802845101,0.670573197154899,5,0
5,0.0763722238391646,0.923627776160835,0,2
6,0.668550056798312,0.331449943201688,9,3
7,0.234772641858128,0.765227358141872,15,28
8,1,0,14,0
9,0.134342821827482,0.865657178172518,0,0
10,0.511086890555729,0.488913109444271,1,0
11,0.532061763030145,0.467938236969855,9,0
12,0.883124938807874,0.116875061192126,83,13
13,0.574043705293349,0.425956294706651,7,0
14,0.296984478905375,0.703015521094625,2,0
15,0.254762106060935,0.745237893939064,0,0
16,0.292247289852626,0.707752710147374,1,0
17,0,1,0,10
18,0.84292864256336,0.15707135743664,33,4
19,0.458896381705954,0.541103618294046,4,1
20,0.153884141884506,0.846115858115494,1,0
21,0.48565728180227,0.51434271819773,1,0
22,0.634547071721447,0.365452928278553,0,1
23,0.220262195048898,0.779737804951102,1,1
24,0.143309869173441,0.856690130826559,0,3
25,0.172627570488467,0.827372429511533,4,1
26,0.856943830089837,0.143056169910163,29,3
27,0.0664638925860683,0.933536107413932,0,1
28,0.13006920545436,0.86993079454564,3,0
29,0.499509853805331,0.500490146194669,1,1
30,0.122154702334916,0.877845297665084,2,0
31,0.868082521277027,0.131917478722973,53,6
32,0.133029142147714,0.866970857852286,6,10
33,0.741067092743202,0.258932907256798,44,7
34,0.0299464932242569,0.970053506775743,5,31
35,0.267488635666556,0.732511364333444,2,0
36,0.541240734625334,0.458759265374666,18,9
37,0.0687078468861626,0.931292153113837,1,4
38,0.301345390186715,0.698654609813286,0,1
39,0.691156604546999,0.308843395453001,14,5
40,0.689321835517442,0.310678164482558,173,38
41,0.688765583295129,0.311234416704871,63,16
43,0.015179160868918,0.984820839131082,1,18
99,0.646446399835973,0.353553600164027,6,1
