Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,NewYorkNewark,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,NewYorkNewark,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,NewYorkNewark,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,NewYorkNewark,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,NorwichNewLondon,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,NorwichNewLondon,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,NorwichNewLondon,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,NorwichNewLondon,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Worcester,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Worcester,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Worcester,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Worcester,0,0,0,0,0,0,0,0,0,0,0,0,0
