,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
0-0-0-0-0-1,0,0,0,0,0,0.437880794701987
0-0-0-0-0-2,0,0,0,0,0,0.211920529801325
0-0-0-0-1-0,0,0,0,0,0.320532915360502,0
0-0-0-0-1-1,0,0,0,0,0.0685736677115987,0.0463576158940397
0-0-0-0-1-2,0,0,0,0,0.00431034482758621,0.00741721854304636
0-0-0-0-2-0,0,0,0,0,0.168495297805643,0
0-0-0-0-2-1,0,0,0,0,0.00156739811912226,0.000529801324503311
0-0-0-0-2-2,0,0,0,0,0.00274294670846395,0.00158940397350993
0-0-0-1-0-0,0,0,0,0.25798782807151,0,0
0-0-0-1-0-1,0,0,0,0.0226321795359452,0,0.063046357615894
0-0-0-1-0-2,0,0,0,0.00703689615823507,0,0.0397350993377483
0-0-0-1-1-0,0,0,0,0.0227272727272727,0.0936520376175549,0
0-0-0-1-1-1,0,0,0,0.00351844807911753,0.0144984326018809,0.00980132450331126
0-0-0-1-1-2,0,0,0,0.000475465956637505,0.00195924764890282,0.00264900662251656
0-0-0-1-2-0,0,0,0,0.00294788893115253,0.024294670846395,0
0-0-0-1-2-1,0,0,0,0.000380372765310004,0.00313479623824451,0.00105960264900662
0-0-0-1-2-2,0,0,0,9.5093191327501e-05,0.000783699059561128,0.000529801324503311
0-0-0-2-0-0,0,0,0,0.178394826930392,0,0
0-0-0-2-0-1,0,0,0,0.0160707493343477,0,0.0196026490066225
0-0-0-2-0-2,0,0,0,0.00313807531380753,0,0.00794701986754967
0-0-0-2-1-0,0,0,0,0.0096044123240776,0.0176332288401254,0
0-0-0-2-1-1,0,0,0,0.00152149106124002,0.00235109717868339,0.00158940397350993
0-0-0-2-1-2,0,0,0,0.000190186382655002,0.000391849529780564,0.000529801324503311
0-0-0-2-2-0,0,0,0,0.00114111829593001,0.00431034482758621,0
0-0-1-0-0-0,0,0,0.297604547300041,0,0,0
0-0-1-0-0-1,0,0,0.00791717417783191,0,0,0.0103311258278146
0-0-1-0-0-2,0,0,0.00203004466098254,0,0,0.00529801324503311
0-0-1-0-1-0,0,0,0.00933820544051969,0,0.018025078369906,0
0-0-1-0-1-1,0,0,0.00365408038976857,0,0.00705329153605016,0.0047682119205298
0-0-1-0-1-2,0,0,0.000203004466098254,0,0.000391849529780564,0.000529801324503311
0-0-1-0-2-0,0,0,0.00527811611855461,0,0.0203761755485893,0
0-0-1-0-2-1,0,0,0.000203004466098254,0,0.000783699059561128,0.000264900662251656
0-0-1-1-0-0,0,0,0.0706455542021924,0.0330924305819703,0,0
0-0-1-1-0-1,0,0,0.00406008932196508,0.00190186382655002,0,0.00529801324503311
0-0-1-1-0-2,0,0,0.00203004466098254,0.000950931913275009,0,0.00529801324503311
0-0-1-1-1-0,0,0,0.00588712951684937,0.00275770254849753,0.0113636363636364,0
0-0-1-1-1-1,0,0,0.000609013398294762,0.000285279573982503,0.00117554858934169,0.000794701986754967
0-0-1-1-2-0,0,0,0.00142103126268778,0.000665652339292507,0.00587774294670846,0
0-0-1-1-2-2,0,0,0.000203004466098254,9.5093191327501e-05,0.000783699059561128,0.000529801324503311
0-0-1-2-0-0,0,0,0.0190824198132359,0.0206352225180677,0,0
0-0-1-2-0-1,0,0,0.00243605359317905,0.00256751616584253,0,0.00317880794701987
0-0-1-2-0-2,0,0,0.000203004466098254,0.000190186382655002,0,0.000529801324503311
0-0-1-2-1-0,0,0,0.00182704019488429,0.00209205020920502,0.00352664576802508,0
0-0-1-2-1-1,0,0,0.000203004466098254,0.000190186382655002,0.000391849529780564,0.000264900662251656
0-0-1-2-2-0,0,0,0.000203004466098254,0.000380372765310004,0.000783699059561128,0
0-0-2-0-0-0,0,0,0.221477872513195,0,0,0
0-0-2-0-0-1,0,0,0.00365408038976857,0,0,0.00211920529801325
0-0-2-0-0-2,0,0,0.000406008932196508,0,0,0.000529801324503311
0-0-2-0-1-0,0,0,0.00406008932196508,0,0.00352664576802508,0
0-0-2-0-2-0,0,0,0.00284206252537556,0,0.00587774294670846,0
