"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.122549959181878,0.877450040818122,0,6
2,0.472980934277679,0.527019065722321,18,23
3,0.349289909042685,0.650710090957315,9,13
4,0.152829467070913,0.847170532929087,4,17
5,0.0138310605214612,0.986168939478539,2,26
6,0.528427126829863,0.471572873170137,10,2
7,0.286795862556818,0.713204137443182,6,11
8,0.233455388714992,0.766544611285008,2,1
9,0.134342821827482,0.865657178172518,0,0
10,0.511086890555729,0.488913109444271,0,1
11,0.895975824821761,0.104024175178239,10,1
12,0.882099221497527,0.117900778502473,35,6
13,0.889694199424309,0.110305800575691,11,1
14,0.296984478905375,0.703015521094625,0,0
15,0.254762106060935,0.745237893939064,0,0
16,0.292247289852626,0.707752710147374,0,0
17,0.0512840369554983,0.948715963044502,1,3
18,0.897186388169224,0.102813611830776,17,2
19,0.458896381705954,0.541103618294046,4,3
20,0.153884141884506,0.846115858115494,3,4
21,0.48565728180227,0.51434271819773,0,0
22,0.634547071721447,0.365452928278553,5,2
23,0.220262195048898,0.779737804951102,2,1
24,0.143309869173441,0.856690130826559,4,0
25,0.172627570488467,0.827372429511533,1,3
26,0.325997620636938,0.674002379363063,6,8
27,0.0664638925860683,0.933536107413932,0,0
28,0.13006920545436,0.86993079454564,1,2
29,0.499509853805331,0.500490146194669,1,0
30,0.122154702334916,0.877845297665084,3,0
31,0.941499770530297,0.0585002294697034,28,1
32,0.111509729259209,0.888490270740792,3,4
33,0.555066546218144,0.444933453781856,32,7
34,0.0795968961429916,0.920403103857008,5,18
35,0.267488635666556,0.732511364333444,7,2
36,0.199375068601943,0.800624931398057,15,5
37,0.0687078468861626,0.931292153113837,2,1
38,0.301345390186715,0.698654609813286,0,0
39,0.510087845315667,0.489912154684333,13,5
40,0.609861145973531,0.390138854026469,111,42
41,0.910204765201546,0.089795234798454,42,3
43,0.0168182985519259,0.983181701448074,0,6
99,0.646446399835973,0.353553600164027,4,0
