,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
0-0-0-0-0-1,0,0,0,0,0,0.299703325371532
0-0-0-0-0-2,0,0,0,0,0,0.458179890829243
0-0-0-0-1-0,0,0,0,0,0.162790697674419,0
0-0-0-0-1-1,0,0,0,0,0.128855935420199,0.0701005665039889
0-0-0-0-1-2,0,0,0,0,0.00656679403800896,0.00742030741273567
0-0-0-0-2-0,0,0,0,0,0.304463901611964,0
0-0-0-0-2-1,0,0,0,0,0.0125895184351039,0.00339351721194683
0-0-0-0-2-2,0,0,0,0,0.00163220892274211,0.000901725668894594
0-0-0-1-0-0,0,0,0,0.120300509100302,0,0
0-0-0-1-0-1,0,0,0,0.0183261757920833,0,0.0351604176848366
0-0-0-1-0-2,0,0,0,0.00669472279327083,0,0.0262257618205222
0-0-0-1-1-0,0,0,0,0.0337713963842757,0.119100640230787,0
0-0-0-1-1-1,0,0,0,0.00362361737470715,0.0127793101703064,0.0069522360731568
0-0-0-1-1-2,0,0,0,0.000348010777570885,0.00122731988764329,0.00139044721463136
0-0-0-1-2-0,0,0,0,0.00277691074061716,0.0198016043728016,0
0-0-0-1-2-1,0,0,0,0.000226027618422327,0.00161955614039527,0.000433654329315721
0-0-0-1-2-2,0,0,0,2.5114179824703e-05,0.000177138952855733,0.000103251030789457
0-0-0-2-0-0,0,0,0,0.179587912186476,0,0
0-0-0-2-0-1,0,0,0,0.00892270931771949,0,0.00810864761799872
0-0-0-2-0-2,0,0,0,0.00243607544299619,0,0.00456369556089402
0-0-0-2-1-0,0,0,0,0.00486497540604247,0.00803451679024217,0
0-0-0-2-1-1,0,0,0,0.00120548063158575,0.00193587569906622,0.00105316051405247
0-0-0-2-1-2,0,0,0,0.000190150218672751,0.000316319558670952,0.000371703710842047
0-0-0-2-2-0,0,0,0,0.000925636913539054,0.00313789002201584,0
0-0-0-2-2-1,0,0,0,0.000204501178572582,0.000632639117341903,0.000151434845157871
0-0-0-2-2-2,0,0,0,3.94651397245333e-05,0.000151833388162057,9.63676287368269e-05
0-0-1-0-0-0,0,0,0.118446925512415,0,0,0
0-0-1-0-0-1,0,0,0.00459923346108982,0,0,0.00284972844978902
0-0-1-0-0-2,0,0,0.0029439537854802,0,0,0.00375145411868362
0-0-1-0-1-0,0,0,0.00899850024995834,0,0.0102487537009388,0
0-0-1-0-1-1,0,0,0.00375492973393323,0,0.00427664043323127,0.00232658989378911
0-0-1-0-1-2,0,0,0.000233294450924846,0,0.000265708429283599,0.000309753092368372
0-0-1-0-2-0,0,0,0.00898739099039049,0,0.0205607713136119,0
0-0-1-0-2-1,0,0,0.00054435371882464,0,0.00130323658172432,0.000337286700578894
0-0-1-0-2-2,0,0,7.77648169749486e-05,0,0.000189791735202571,0.000103251030789457
0-0-1-1-0-0,0,0,0.0669332888962951,0.0216161333491194,0,0
0-0-1-1-0-1,0,0,0.00387713158917958,0.00125212125126019,0,0.00240230731636804
0-0-1-1-0-2,0,0,0.00119980003332778,0.000387475917295418,0,0.0015349986577366
0-0-1-1-1-0,0,0,0.0128534133200022,0.00415101515102591,0.0146392691752916,0
0-0-1-1-1-1,0,0,0.00142198522468477,0.00045923071679457,0.00161955614039527,0.000881075462736703
0-0-1-1-1-2,0,0,0.000199966672221296,6.45793195492363e-05,0.000227750082243085,0.000268452680052589
0-0-1-1-2-0,0,0,0.00131089262900628,0.000423353317044994,0.00301136219854746,0
0-0-1-1-2-1,0,0,0.000144420374382047,4.66406196744485e-05,0.000341625123364628,8.94842266841964e-05
0-0-1-1-2-2,0,0,3.33277787035494e-05,1.07632199248727e-05,8.85694764278665e-05,6.19506184736744e-05
0-0-1-2-0-0,0,0,0.0343720491029273,0.0230189396793278,0,0
0-0-1-2-0-1,0,0,0.00214408709659501,0.00146379790978269,0,0.00132849659615769
0-0-1-2-0-2,0,0,0.00056657223796034,0.000419765577070036,0,0.000743407421684093
0-0-1-2-1-0,0,0,0.00148864078209187,0.00108708521241215,0.0016954728344763,0
0-0-1-2-1-1,0,0,0.000344387046603344,0.00025114179824703,0.00039223625275198,0.000213385463631545
0-0-1-2-1-2,0,0,7.77648169749486e-05,5.0228359649406e-05,8.85694764278665e-05,0.000110134432842088
0-0-1-2-2-0,0,0,0.000299950008331945,0.00022243987844737,0.00072120859376977,0
0-0-1-2-2-2,0,0,3.33277787035494e-05,3.22896597746182e-05,8.85694764278665e-05,6.19506184736744e-05
0-0-2-0-0-0,0,0,0.176426151197023,0,0,0
0-0-2-0-0-1,0,0,0.00133311114814198,0,0,0.000392353916999938
0-0-2-0-0-2,0,0,0.000788757429317336,0,0,0.000495604947789395
0-0-2-0-1-0,0,0,0.00374382047436538,0,0.0019611812637599,0
0-0-2-0-1-1,0,0,0.00139976670554908,0,0.000759166940810284,0.00041300412315783
0-0-2-0-1-2,0,0,0.000122201855246348,0,6.32639117341903e-05,6.88340205263049e-05
0-0-2-0-2-0,0,0,0.00355496306171194,0,0.00385909861578561,0
0-0-2-0-2-1,0,0,0.000122201855246348,0,0.000139180605815219,3.44170102631525e-05
0-0-2-0-2-2,0,0,5.5546297839249e-05,0,5.06111293873523e-05,2.7533608210522e-05
0-0-2-1-0-0,0,0,0.0206187857579292,0.00298858739913966,0,0
0-0-2-1-0-1,0,0,0.00144420374382047,0.000215264398497454,0,0.00041300412315783
0-0-2-1-0-2,0,0,0.000355496306171194,5.38160996243636e-05,0,0.000220268865684176
0-0-2-1-1-0,0,0,0.00657668166416708,0.000965102053263588,0.00340359845129944,0
0-0-2-1-1-1,0,0,0.000788757429317336,0.0001183954191736,0.000417541817445656,0.000227152267736806
0-0-2-1-1-2,0,0,4.44370382713992e-05,7.17547994991515e-06,2.53055646936761e-05,2.7533608210522e-05
0-0-2-1-2-0,0,0,0.000522135199688941,7.89302794490666e-05,0.000569375205607713,0
0-0-2-1-2-1,0,0,7.77648169749486e-05,1.07632199248727e-05,7.59166940810284e-05,2.06502061578915e-05
0-0-2-1-2-2,0,0,2.22185191356996e-05,3.58773997495757e-06,2.53055646936761e-05,1.3766804105261e-05
0-0-2-2-0-0,0,0,0.0204188190857079,0.00632159783587525,0,0
0-0-2-2-0-1,0,0,0.00108870743764928,0.00034083529762097,0,0.000302869690315742
0-0-2-2-0-2,0,0,0.000444370382713992,0.000147097338973261,0,0.000268452680052589
0-0-2-2-1-0,0,0,0.00114425373548853,0.000351598517545842,0.000556722423260875,0
0-0-2-2-1-1,0,0,0.000288840748764095,0.000107632199248727,0.000139180605815219,7.57174225789354e-05
0-0-2-2-1-2,0,0,7.77648169749486e-05,1.43509598998303e-05,2.53055646936761e-05,2.7533608210522e-05
0-0-2-2-2-0,0,0,0.000166638893517747,6.09915795742788e-05,0.000177138952855733,0
0-0-2-2-2-1,0,0,7.77648169749486e-05,1.43509598998303e-05,5.06111293873523e-05,1.3766804105261e-05
0-0-2-2-2-2,0,0,4.44370382713992e-05,7.17547994991515e-06,2.53055646936761e-05,2.7533608210522e-05
0-1-0-0-0-0,0,0.0545748309496739,0,0,0,0
0-1-0-0-0-1,0,0.00311172281730597,0,0,0,0.00107381072021036
0-1-0-0-0-2,0,0.00257315540661839,0,0,0,0.0017828011316313
0-1-0-0-1-0,0,0.0061636048112022,0,0,0.00390970974517296,0
0-1-0-0-1-1,0,0.00299204117048651,0,0,0.00189791735202571,0.00103251030789457
0-1-0-0-1-2,0,0.000159575529092614,0,0,0.000101222258774705,0.000110134432842088
0-1-0-0-2-0,0,0.00574471904733409,0,0,0.00732596097881924,0
0-1-0-0-2-1,0,0.000458779646141264,0,0,0.000582027987954551,0.000158318247210501
0-1-0-0-2-2,0,5.98408234097301e-05,0,0,7.59166940810284e-05,4.1300412315783e-05
0-1-0-1-0-0,0,0.0531785450701135,0,0.0095649147732369,0,0
0-1-0-1-0-1,0,0.00568487822392436,0,0.00102250589286291,0,0.00196176958499969
0-1-0-1-0-2,0,0.00139628587956037,0,0.00025114179824703,0,0.00098432649352616
0-1-0-1-1-0,0,0.0168551652604073,0,0.00303164027883915,0.0106916010830782,0
0-1-0-1-1-1,0,0.00165559611433587,0,0.000297782417921479,0.00105018093478756,0.000571322370368331
0-1-0-1-1-2,0,0.000159575529092614,0,2.87019197996606e-05,0.000101222258774705,0.000123901236947349
0-1-0-1-2-0,0,0.000917559292282528,0,0.000165036038848048,0.00117670875825594,0
0-1-0-1-2-1,0,0.00017952247022919,0,3.22896597746182e-05,0.000227750082243085,6.19506184736744e-05
0-1-0-2-0-0,0,0.100253326152435,0,0.0365662458247676,0,0
0-1-0-2-0-1,0,0.00398938822731534,0,0.00149249982958235,0,0.0013766804105261
0-1-0-2-0-2,0,0.000857718468872798,0,0.000333659817671054,0,0.000612622782684114
0-1-0-2-1-0,0,0.00159575529092614,0,0.000627854495617576,0.00101222258774705,0
0-1-0-2-1-1,0,0.000279257175912074,0,0.000114807679198642,0.000177138952855733,9.63676287368269e-05
0-1-0-2-1-2,0,5.98408234097301e-05,0,2.15264398497454e-05,3.79583470405142e-05,4.1300412315783e-05
0-1-0-2-2-0,0,0.000259310234775497,0,0.00010404445927377,0.000354277905711466,0
0-1-1-0-0-0,0,0.0158977120858516,0.00885407987557629,0,0,0
0-1-1-0-0-1,0,0.000578461292960724,0.000322168527467644,0,0,0.000199618659526284
0-1-1-0-0-2,0,0.000139628587956037,7.77648169749486e-05,0,0,9.63676287368269e-05
0-1-1-0-1-0,0,0.00117686952705803,0.000655446314503138,0,0.000746514158463446,0
0-1-1-0-1-1,0,0.000359044940458381,0.000199966672221296,0,0.000227750082243085,0.000123901236947349
0-1-1-0-1-2,0,7.97877645463068e-05,4.44370382713992e-05,0,5.06111293873523e-05,5.50672164210439e-05
0-1-1-0-2-0,0,0.00133644505615064,0.000744320391045937,0,0.00170812561682314,0
0-1-1-0-2-1,0,3.98938822731534e-05,2.22185191356996e-05,0,5.06111293873523e-05,1.3766804105261e-05
0-1-1-0-2-2,0,1.99469411365767e-05,1.11092595678498e-05,0,2.53055646936761e-05,1.3766804105261e-05
0-1-1-1-0-0,0,0.0131250872678675,0.00730989279564517,0.00236073290352208,0,0
0-1-1-1-0-1,0,0.00113697564478487,0.000633227795367439,0.000204501178572582,0,0.000392353916999938
0-1-1-1-0-2,0,0.000199469411365767,0.000111092595678498,3.58773997495757e-05,0,0.000158318247210501
0-1-1-1-1-0,0,0.00444816787345661,0.00247736488363051,0.000800066014415539,0.00282157046334489,0
0-1-1-1-1-1,0,0.000418885763868111,0.000233294450924846,7.53425394741091e-05,0.000265708429283599,0.00014455144310524
0-1-1-1-1-2,0,7.97877645463068e-05,4.44370382713992e-05,1.43509598998303e-05,5.06111293873523e-05,5.50672164210439e-05
0-1-1-1-2-0,0,0.000139628587956037,7.77648169749486e-05,2.5114179824703e-05,0.000177138952855733,0
0-1-1-2-0-0,0,0.0268485827698322,0.0149530633783258,0.0098268197914088,0,0
0-1-1-2-0-1,0,0.00161570223206271,0.000899850024995834,0.00060632805576783,0,0.00055755556626307
0-1-1-2-0-2,0,0.000219416352502344,0.000122201855246348,7.89302794490666e-05,0,0.000158318247210501
0-1-1-2-1-0,0,0.000578461292960724,0.000322168527467644,0.000226027618422327,0.000366930688058304,0
0-1-1-2-1-1,0,7.97877645463068e-05,4.44370382713992e-05,2.87019197996606e-05,5.06111293873523e-05,2.7533608210522e-05
0-1-1-2-1-2,0,1.99469411365767e-05,1.11092595678498e-05,7.17547994991515e-06,1.26527823468381e-05,1.3766804105261e-05
0-1-1-2-2-0,0,9.97347056828835e-05,5.5546297839249e-05,3.58773997495757e-05,0.000139180605815219,0
0-1-1-2-2-1,0,1.99469411365767e-05,1.11092595678498e-05,7.17547994991515e-06,2.53055646936761e-05,6.88340205263049e-06
0-1-2-0-0-0,0,0.00618355175233878,0.00830972615675165,0,0,0
0-1-2-0-0-1,0,5.98408234097301e-05,9.99833361106482e-05,0,0,2.06502061578915e-05
0-1-2-0-1-0,0,0.000398938822731534,0.000499916680553241,0,0.000253055646936761,0
0-1-2-0-1-1,0,0.00011968164681946,0.000166638893517747,0,7.59166940810284e-05,4.1300412315783e-05
0-1-2-0-2-0,0,0.00023936329363892,0.000288840748764095,0,0.000316319558670952,0
0-1-2-0-2-1,0,3.98938822731534e-05,5.5546297839249e-05,0,5.06111293873523e-05,1.3766804105261e-05
0-1-2-1-0-0,0,0.00285241258253047,0.00368827417652613,0.000513046816418933,0,0
0-1-2-1-0-1,0,0.000259310234775497,0.000288840748764095,4.66406196744485e-05,0,8.94842266841964e-05
0-1-2-1-0-2,0,5.98408234097301e-05,7.77648169749486e-05,1.07632199248727e-05,0,4.1300412315783e-05
0-1-2-1-1-0,0,0.00105718788023857,0.00128867410987058,0.000190150218672751,0.000670597464382418,0
0-1-2-1-1-1,0,9.97347056828835e-05,0.000122201855246348,1.79386998747879e-05,6.32639117341903e-05,3.44170102631525e-05
0-1-2-1-2-0,0,3.98938822731534e-05,5.5546297839249e-05,7.17547994991515e-06,5.06111293873523e-05,0
0-1-2-1-2-2,0,1.99469411365767e-05,2.22185191356996e-05,3.58773997495757e-06,2.53055646936761e-05,1.3766804105261e-05
0-1-2-2-0-0,0,0.00572477210619751,0.00688774093206688,0.00221004782457387,0,0
0-1-2-2-0-1,0,0.000319151058185227,0.000377714825306893,0.000139921859023345,0,0.000110134432842088
0-1-2-2-1-0,0,0.00017952247022919,0.000222185191356996,7.89302794490666e-05,0.000113875041121543,0
0-1-2-2-1-1,0,3.98938822731534e-05,4.44370382713992e-05,1.79386998747879e-05,2.53055646936761e-05,1.3766804105261e-05
0-2-0-0-0-0,0,0.0114694911535316,0,0,0,0
0-2-0-0-0-1,0,0.000418885763868111,0,0,0,6.88340205263049e-05
0-2-0-0-0-2,0,0.000199469411365767,0,0,0,6.88340205263049e-05
0-2-0-0-1-0,0,0.00197474717252109,0,0,0.000531416858567199,0
0-2-0-0-1-1,0,0.000339097999321804,0,0,0.000101222258774705,5.50672164210439e-05
0-2-0-0-2-0,0,0.000917559292282528,0,0,0.000594680770301389,0
0-2-0-0-2-1,0,0.00011968164681946,0,0,7.59166940810284e-05,2.06502061578915e-05
0-2-0-1-0-0,0,0.0316757425248838,0,0.00268362950126827,0,0
0-2-0-1-0-1,0,0.0026529431711647,0,0.000226027618422327,0,0.000433654329315721
0-2-0-1-0-2,0,0.000638302116370455,0,5.38160996243636e-05,0,0.000206502061578915
0-2-0-1-1-0,0,0.00793888257235753,0,0.000660144155392194,0.0023281119518182,0
0-2-0-1-1-1,0,0.000678195998643608,0,5.74038395993212e-05,0.000202444517549409,0.000110134432842088
0-2-0-1-1-2,0,3.98938822731534e-05,0,3.58773997495757e-06,1.26527823468381e-05,1.3766804105261e-05
0-2-0-1-2-0,0,0.000219416352502344,0,1.79386998747879e-05,0.000126527823468381,0
0-2-0-1-2-1,0,3.98938822731534e-05,0,3.58773997495757e-06,2.53055646936761e-05,6.88340205263049e-06
0-2-0-2-0-0,0,0.0785111603135659,0,0.01353295518554,0,0
0-2-0-2-0-1,0,0.00323140446412543,0,0.000581213875943127,0,0.000536905360105178
