"County","Density"
"AlachuaCounty",67
"BakerCounty",28
"BayCounty",30.7
"BradfordCounty",74.9
"BrevardCounty",36.8
"BrowardCounty",0.4
"CalhounCounty",17.5
"CharlotteCounty",25.3
"CitrusCounty",102.1
"ClayCounty",57.6
"CollierCounty",15
"ColumbiaCounty",54.2
"DeSotoCounty",25.8
"DixieCounty",18
"DuvalCounty",66.3
"EscambiaCounty",51.2
"FlaglerCounty",22.8
"FranklinCounty",14.8
"GadsdenCounty",60.3
"GilchristCounty",40.9
"GladesCounty",11.3
"GulfCounty",21.8
"HamiltonCounty",18.4
"HardeeCounty",21.1
"HendryCounty",13
"HernandoCounty",90.1
"HighlandsCounty",21.9
"HillsboroughCounty",85.3
"HolmesCounty",33
"IndianRiverCounty",16.4
"JacksonCounty",41.2
"JeffersonCounty",24.7
"LafayetteCounty",16.3
"LakeCounty",73.6
"LeeCounty",86
"LeonCounty",62.9
"LevyCounty",33.7
"LibertyCounty",10
"MadisonCounty",22.2
"ManateeCounty",31.3
"MarionCounty",72.8
"MartinCounty",26.5
"MiamiDadeCounty",6.8
"MonroeCounty",6.7
"NassauCounty",58.1
"OkaloosaCounty",26.1
"OkeechobeeCounty",19.6
"OrangeCounty",48.9
"OsceolaCounty",17.7
"PalmBeachCounty",9.1
"PascoCounty",88.9
"PinellasCounty",118.6
"PolkCounty",55.1
"PutnamCounty",60.6
"StJohnsCounty",89.4
"StLucieCounty",22
"SantaRosaCounty",34.7
"SarasotaCounty",43.9
"SeminoleCounty",92.8
"SumterCounty",63.8
"SuwanneeCounty",50.6
"TaylorCounty",15.1
"UnionCounty",43.9
"VolusiaCounty",56
"WakullaCounty",32.1
"WaltonCounty",34.3
"WashingtonCounty",36.4
