"County","AlachuaCounty","BakerCounty","BayCounty","BradfordCounty","BrevardCounty","BrowardCounty","CalhounCounty","CharlotteCounty","CitrusCounty","ClayCounty","CollierCounty","ColumbiaCounty","DeSotoCounty","DixieCounty","DuvalCounty","EscambiaCounty","FlaglerCounty","FranklinCounty","GadsdenCounty","GilchristCounty","GladesCounty","GulfCounty","HamiltonCounty","HardeeCounty","HendryCounty","HernandoCounty","HighlandsCounty","HillsboroughCounty","HolmesCounty","IndianRiverCounty","JacksonCounty","JeffersonCounty","LafayetteCounty","LakeCounty","LeeCounty","LeonCounty","LevyCounty","LibertyCounty","MadisonCounty","ManateeCounty","MarionCounty","MartinCounty","MiamiDadeCounty","MonroeCounty","NassauCounty","OkaloosaCounty","OkeechobeeCounty","OrangeCounty","OsceolaCounty","PalmBeachCounty","PascoCounty","PinellasCounty","PolkCounty","PutnamCounty","StJohnsCounty","StLucieCounty","SantaRosaCounty","SarasotaCounty","SeminoleCounty","SumterCounty","SuwanneeCounty","TaylorCounty","UnionCounty","VolusiaCounty","WakullaCounty","WaltonCounty","WashingtonCounty"
"AlachuaCounty",16,65.8,245.2,27.8,176.8,318.2,207.7,230.4,73.1,48.9,295.9,42.7,201.6,53.9,75.9,337.6,83.3,184.4,172.5,41.3,239,245.1,71.4,176.7,261.1,110.8,190.5,139.9,247.9,220.3,210.5,124.1,65.8,88.8,263.8,146.9,42.2,196.4,96.7,176.3,50.2,249.5,353.1,460.9,84.8,297.2,214.7,118.8,136.3,281.8,124.4,155.3,152.8,48.3,76.9,228.8,320.6,200.9,124.4,74.3,61,90.3,34.5,115.7,169.4,269.2,239.3
"BakerCounty",65.8,12.5,229.9,40.4,201.1,355.6,192.3,282.1,124.8,48.6,347.6,31.6,253.4,91.2,40.4,322.3,102.1,197.6,157.1,78.6,290.7,229.8,56,228.4,312.9,162.5,242.2,191.6,232.6,244.5,195.1,108.7,77,135.3,315.5,131.5,106.3,181.1,81.4,228,96.8,289.7,390.5,498.3,47.3,281.8,266.5,177.5,188,319.2,176.2,207.1,204.5,76.4,83.5,266.2,305.3,252.7,169.7,126,58.2,101.6,35.6,139.3,154.1,253.9,223.9
"BayCounty",245.2,229.9,16.5,241.6,412,553.4,39.1,465.6,283.2,262.1,531.1,206.2,436.9,205.9,265.4,133.8,327,80.2,79.1,227.1,474.2,51.3,195.3,411.9,496.3,300.5,425.7,375.1,61.6,455.5,55,127.1,191.1,324,499,105.1,242.1,74.7,152.7,411.5,285.4,484.7,588.3,696.1,274.2,79.5,449.9,354,371.5,517,320.9,357.2,388,289.6,308.5,464,116.8,436.1,359.6,309.5,188.4,163.6,225.2,364.3,101.7,57.1,34.6
"BradfordCounty",27.8,40.4,241.6,8.9,170.7,331.9,204,244.1,86.8,23.5,309.6,37,215.4,79.7,50.5,334,80.7,209.3,168.8,67.2,252.7,241.5,67.7,190.4,274.9,124.5,204.2,153.6,244.2,214.2,206.8,120.4,78.7,97.3,277.5,143.2,62.1,192.8,93.1,190,58.7,263.2,366.8,474.6,59.4,293.5,228.4,132.5,150,295.5,138.1,169,166.5,42.7,62.2,242.5,317,214.7,132.9,88,69.8,103.3,17,109,165.7,265.6,235.6
"BrevardCounty",176.8,201.1,412,170.7,20.3,161.8,374.4,220.1,140,159.1,223.6,209.4,165.3,204.1,164.8,504.4,102.8,343.4,339.2,193.5,134.3,411.9,238.1,140.3,154.4,131.2,145.4,129.7,414.7,50.6,377.3,290.8,232.6,99.2,191.5,313.6,179.7,363.2,263.5,166.1,129,95.9,196.7,304.5,189.3,464,101.6,60.9,55.3,125.3,147.8,150.6,107.7,138.6,127.4,72.4,487.4,190.7,60.4,112.6,227.8,247.5,184.3,72.6,301.2,436,406
"BrowardCounty",318.2,355.6,553.4,331.9,161.8,18.7,515.8,170.6,281.4,313.6,97.1,350.8,162.2,345.5,319.4,645.8,257.4,484.8,480.6,334.9,100.9,553.3,379.5,173,97.2,272.5,145.9,237.9,556,122.7,518.6,432.2,373.9,240.6,136,455,321.1,504.6,404.9,222.9,270.4,74.3,37.4,145.2,343.9,605.3,113.6,210.9,182.5,36.8,259.9,260.3,197.3,293.2,281.9,91.4,628.8,196,215,254,369.2,388.9,344.2,227.1,442.6,577.4,547.4
"CalhounCounty",207.7,192.3,39.1,204,374.4,515.8,12.3,428,245.6,224.5,493.5,168.6,399.3,168.4,227.8,157.2,289.5,71,41.5,189.5,436.6,44.2,157.7,374.3,458.7,262.9,388.1,337.5,67.4,417.9,27.4,89.5,153.5,286.4,461.4,67.5,204.6,37.1,115.1,373.9,247.8,447.1,550.7,658.5,236.6,94.7,412.3,316.4,333.9,479.4,283.3,319.6,350.4,252.1,270.9,426.4,140.2,398.6,322,271.9,150.8,126.1,187.6,326.7,64.1,72.3,49.8
"CharlotteCounty",230.4,282.1,465.6,244.1,220.1,170.7,428,15.1,176.5,259.2,73.7,263,33.1,246.1,292.2,558,249.1,385.5,392.8,247.1,84.2,465.5,291.7,57.1,81.2,149.1,80.5,97.2,468.2,156.2,430.8,344.4,286.1,177.6,41.6,367.2,217.3,416.8,317,60.4,190.7,143,181.9,268.1,301,517.5,104.6,173.4,171.4,149.5,123.6,97.7,91.4,241.4,273.7,134.6,541,33.5,189.1,157.8,281.4,289.6,256.4,214,343.3,489.6,459.6
"CitrusCounty",73.1,124.8,283.2,86.8,140,281.4,245.6,176.5,14.3,101.9,242,105.7,154.3,80.5,134.9,375.6,115.8,219.9,210.4,76.2,202.2,267.3,134.4,129.3,224.4,40.8,153.7,74.6,285.8,183.5,248.4,162,116.6,57.4,209.9,178.2,51.7,217.8,159.7,122.4,33.4,212.7,316.3,424.1,143.7,335.1,177.9,82,99.5,245,50,97.5,104.5,84.1,117.8,192,358.6,147.1,93,37.5,114.3,124,99,105.7,177.7,307.2,277.2
"ClayCounty",48.9,48.6,262.1,23.5,159.1,313.6,224.5,259.2,101.9,13.1,324.7,57.5,230.5,100.8,39.2,354.5,60.1,229.8,189.3,88.3,267.8,262,88.2,205.5,290,139.6,219.3,168.7,264.7,202.5,227.3,140.9,97.9,104.5,292.6,163.7,83.2,213.3,113.6,205.1,73.8,247.8,348.6,456.4,59.5,314,239.5,135.5,161,277.2,153.3,184.1,181.6,44,41.6,224.3,337.5,229.8,127.7,103.1,90.3,122.5,37.5,97.3,186.2,286.1,256.1
