"County","Metropolitan","Town","Rural"
"AlachuaCounty",0.7592,0.0289,0.2119
"BakerCounty",0,0.4051,0.5949
"BayCounty",0.8456,0.0345,0.12
"BradfordCounty",0,0.2447,0.7553
"BrevardCounty",0.9493,0,0.0507
"BrowardCounty",0.9998,0,2e-04
"CalhounCounty",0,0.3249,0.6751
"CharlotteCounty",0.9034,0.0077,0.0888
"CitrusCounty",0.5613,0.0935,0.3452
"ClayCounty",0.8229,0.0275,0.1497
"CollierCounty",0.8071,0.108,0.0849
"ColumbiaCounty",0,0.3794,0.6206
"DeSotoCounty",0.0359,0.5017,0.4624
"DixieCounty",0,0.2298,0.7702
"DuvalCounty",0.9709,0,0.0291
"EscambiaCounty",0.9077,0.0093,0.083
"FlaglerCounty",0.8968,0,0.1032
"FranklinCounty",0,0.3196,0.6804
"GadsdenCounty",0.0134,0.3328,0.6538
"GilchristCounty",0,0.1608,0.8392
"GladesCounty",0,0.2936,0.7064
"GulfCounty",0,0.2291,0.7709
"HamiltonCounty",0,0.3652,0.6348
"HardeeCounty",0,0.5219,0.4781
"HendryCounty",0,0.6211,0.3789
"HernandoCounty",0.7891,0.0171,0.1938
"HighlandsCounty",0.6238,0.1655,0.2107
"HillsboroughCounty",0.9649,0,0.0351
"HolmesCounty",0,0.2123,0.7877
"IndianRiverCounty",0.912,0.0384,0.0497
"JacksonCounty",0,0.2464,0.7536
"JeffersonCounty",0,0,1
"LafayetteCounty",0,0,1
"LakeCounty",0.77,0.0374,0.1925
"LeeCounty",0.9388,0.0029,0.0582
"LeonCounty",0.8697,0.0072,0.1231
"LevyCounty",0,0.0795,0.9205
"LibertyCounty",0,0,1
"MadisonCounty",0,0.1999,0.8001
"ManateeCounty",0.9421,0,0.0579
"MarionCounty",0.6118,0.0779,0.3103
"MartinCounty",0.8708,0.0444,0.0848
"MiamiDadeCounty",0.996,0,0.004
"MonroeCounty",0,0.9129,0.0871
"NassauCounty",0,0.5185,0.4815
"OkaloosaCounty",0.6996,0.1794,0.121
"OkeechobeeCounty",0,0.6345,0.3655
"OrangeCounty",0.9743,0.0052,0.0204
"OsceolaCounty",0.8048,0.117,0.0782
"PalmBeachCounty",0.957,0.0326,0.0104
"PascoCounty",0.9053,0,0.0947
"PinellasCounty",0.9972,0,0.0028
"PolkCounty",0.7697,0.0951,0.1351
"PutnamCounty",0,0.4384,0.5616
"StJohnsCounty",0.7274,0.0348,0.2377
"StLucieCounty",0.9664,0,0.0336
"SantaRosaCounty",0.7901,0,0.2099
"SarasotaCounty",0.9568,0,0.0432
"SeminoleCounty",0.9684,0,0.0316
"SumterCounty",0.5769,0.0735,0.3496
"SuwanneeCounty",0,0.1683,0.8317
"TaylorCounty",0,0.3072,0.6928
"UnionCounty",0,0.3255,0.6745
"VolusiaCounty",0.9006,0,0.0994
"WakullaCounty",0,0.3832,0.6168
"WaltonCounty",0.1812,0.1876,0.6313
"WashingtonCounty",0,0.1545,0.8455
