Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
HighDenRate,Gainesville,,,,,,,,,,,,,
MedDenRate,Gainesville,,,,,,,,,,,,,
HighDenRate,Jacksonville,,,,,,,,,,,,,
MedDenRate,Jacksonville,,,,,,,,,,,,,
HighDenRate,Miami,,,,,,,,,,,,,
MedDenRate,Miami,,,,,,,,,,,,,
HighDenRate,Orlando,,,,,,,,,,,,,
MedDenRate,Orlando,,,,,,,,,,,,,
HighDenRate,PalmCoastDaytonaBeachPortOrange,,,,,,,,,,,,,
MedDenRate,PalmCoastDaytonaBeachPortOrange,,,,,,,,,,,,,
HighDenRate,Pensacola,,,,,,,,,,,,,
MedDenRate,Pensacola,,,,,,,,,,,,,
HighDenRate,SarasotaBradenton,,,,,,,,,,,,,
MedDenRate,SarasotaBradenton,,,,,,,,,,,,,
HighDenRate,SebringAvonPark,,,,,,,,,,,,,
MedDenRate,SebringAvonPark,,,,,,,,,,,,,
HighDenRate,Tallahassee,,,,,,,,,,,,,
MedDenRate,Tallahassee,,,,,,,,,,,,,
HighDenRate,TampaStPetersburg,,,,,,,,,,,,,
MedDenRate,TampaStPetersburg,,,,,,,,,,,,,
