Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PkgCost,Gainesville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Gainesville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Gainesville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Gainesville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Gainesville,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Miami,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Miami,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Miami,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Miami,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Miami,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Orlando,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Orlando,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Orlando,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Orlando,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Orlando,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,PalmCoastDaytonaBeachPortOrange,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,PalmCoastDaytonaBeachPortOrange,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,PalmCoastDaytonaBeachPortOrange,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,PalmCoastDaytonaBeachPortOrange,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,PalmCoastDaytonaBeachPortOrange,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,SarasotaBradenton,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,SarasotaBradenton,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,SarasotaBradenton,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,SarasotaBradenton,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,SarasotaBradenton,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,SebringAvonPark,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,SebringAvonPark,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,SebringAvonPark,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,SebringAvonPark,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,SebringAvonPark,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Tallahassee,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Tallahassee,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Tallahassee,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Tallahassee,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Tallahassee,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,TampaStPetersburg,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,TampaStPetersburg,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,TampaStPetersburg,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,TampaStPetersburg,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,TampaStPetersburg,0,0,0,0,0,0,0,0,0,0,0,0,0
