Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Gainesville,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Gainesville,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Gainesville,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Gainesville,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Jacksonville,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Jacksonville,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Miami,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Miami,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Miami,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Miami,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Orlando,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Orlando,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Orlando,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Orlando,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,PalmCoastDaytonaBeachPortOrange,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,PalmCoastDaytonaBeachPortOrange,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,PalmCoastDaytonaBeachPortOrange,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,PalmCoastDaytonaBeachPortOrange,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Pensacola,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Pensacola,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Pensacola,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,SarasotaBradenton,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,SarasotaBradenton,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,SarasotaBradenton,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,SarasotaBradenton,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,SebringAvonPark,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,SebringAvonPark,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,SebringAvonPark,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,SebringAvonPark,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Tallahassee,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Tallahassee,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Tallahassee,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Tallahassee,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,TampaStPetersburg,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,TampaStPetersburg,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,TampaStPetersburg,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,TampaStPetersburg,0,0,0,0,0,0,0,0,0,0,0,0,0
