"County","ApplingCounty","AtkinsonCounty","BaconCounty","BakerCounty","BaldwinCounty","BanksCounty","BarrowCounty","BartowCounty","BenHillCounty","BerrienCounty","BibbCounty","BleckleyCounty","BrantleyCounty","BrooksCounty","BryanCounty","BullochCounty","BurkeCounty","ButtsCounty","CalhounCounty","CamdenCounty","CandlerCounty","CarrollCounty","CatoosaCounty","CharltonCounty","ChathamCounty","ChattahoocheeCounty","ChattoogaCounty","CherokeeCounty","ClarkeCounty","ClayCounty","ClaytonCounty","ClinchCounty","CobbCounty","CoffeeCounty","ColquittCounty","ColumbiaCounty","CookCounty","CowetaCounty","CrawfordCounty","CrispCounty","DadeCounty","DawsonCounty","DecaturCounty","DeKalbCounty","DodgeCounty","DoolyCounty","DoughertyCounty","DouglasCounty","EarlyCounty","EcholsCounty","EffinghamCounty","ElbertCounty","EmanuelCounty","EvansCounty","FanninCounty","FayetteCounty","FloydCounty","ForsythCounty","FranklinCounty","FultonCounty","GilmerCounty","GlascockCounty","GlynnCounty","GordonCounty","GradyCounty","GreeneCounty","GwinnettCounty","HabershamCounty","HallCounty","HancockCounty","HaralsonCounty","HarrisCounty","HartCounty","HeardCounty","HenryCounty","HoustonCounty","IrwinCounty","JacksonCounty","JasperCounty","JeffDavisCounty","JeffersonCounty","JenkinsCounty","JohnsonCounty","JonesCounty","LamarCounty","LanierCounty","LaurensCounty","LeeCounty","LibertyCounty","LincolnCounty","LongCounty","LowndesCounty","LumpkinCounty","McDuffieCounty","McIntoshCounty","MaconCounty","MadisonCounty","MarionCounty","MeriwetherCounty","MillerCounty","MitchellCounty","MonroeCounty","MontgomeryCounty","MorganCounty","MurrayCounty","MuscogeeCounty","NewtonCounty","OconeeCounty","OglethorpeCounty","PauldingCounty","PeachCounty","PickensCounty","PierceCounty","PikeCounty","PolkCounty","PulaskiCounty","PutnamCounty","QuitmanCounty","RabunCounty","RandolphCounty","RichmondCounty","RockdaleCounty","SchleyCounty","ScrevenCounty","SeminoleCounty","SpaldingCounty","StephensCounty","StewartCounty","SumterCounty","TalbotCounty","TaliaferroCounty","TattnallCounty","TaylorCounty","TelfairCounty","TerrellCounty","ThomasCounty","TiftCounty","ToombsCounty","TownsCounty","TreutlenCounty","TroupCounty","TurnerCounty","TwiggsCounty","UnionCounty","UpsonCounty","WalkerCounty","WaltonCounty","WareCounty","WarrenCounty","WashingtonCounty","WayneCounty","WebsterCounty","WheelerCounty","WhiteCounty","WhitfieldCounty","WilcoxCounty","WilkesCounty","WilkinsonCounty","WorthCounty"
"ApplingCounty",11.6,60.5,21.2,160.6,126.3,221,207.3,261,70.5,86,130.3,82,54.7,120.6,70.4,69.9,108.1,164.7,172,94.3,59.1,254.6,318.9,79.2,90.9,169.1,303.3,252.1,189.9,191.5,199.6,85.9,235,48.1,117.5,141.7,96.3,232.4,136,103.1,338.7,268.9,176.4,214.5,62.6,114.4,134.4,228,192.2,111.5,93.4,189.7,65.3,48.2,310.1,208.9,289.9,251.2,217.7,213.8,292.9,122.4,68.7,283.7,154.8,153.9,235.4,238.9,262.5,129.5,259.2,185.8,208.2,256.1,186.3,107.3,73.3,213.4,170.8,24.5,100,88.8,86.2,139.7,167,83.4,77.3,137.3,63.8,158.3,48.1,102.4,278.8,132.2,75.8,125.3,204.3,154.6,202,184.8,148.3,149.3,44.4,169.2,300.9,183.7,189.7,183.3,178.4,239.7,118.9,276,34.7,180.4,263.6,85.8,148.9,195.1,264.4,174.4,132.7,205.3,137,95.3,201.1,179.6,232.4,174.1,131,162.8,154,39.5,139.2,49.1,154.9,137,93.1,34.8,316.2,55.8,226.4,98.2,107.8,327.6,160.8,327.6,195.4,49.9,132.9,103.6,30.6,155.1,52.6,288.6,304.9,81.2,160.8,109.1,116.4
"AtkinsonCounty",60.5,9.5,40.3,108.1,144.8,247.4,243.9,273,49,33.6,143.6,95.8,54.9,68.9,123.8,124.3,148.4,184.2,119.5,96.9,103.8,266.6,330.9,72.2,142,150,315.3,264.1,216.3,139,211.6,34.5,247,20.9,65.1,181.6,43.8,244.4,146.5,80.5,350.7,280.9,124.7,226.5,78.4,97.4,81.9,240,139.7,52.9,147.8,229.6,105.2,102.6,322.1,220.9,301.9,263.2,251.9,225.8,304.9,159.5,90.8,295.7,103.1,185.9,247.4,298.1,274.5,161.5,271.2,189.3,248,234.8,198.3,127.6,40.6,283.2,191.7,44.4,139.9,133.5,110.9,159.7,171,24.8,93.2,93,108.1,198.1,92.4,43.8,290.8,172.1,103.3,120.7,230.7,150,194.4,132.4,95.9,161.3,76.4,187.6,312.9,167.6,209.2,209.6,210.3,251.7,129.4,288,47,182.6,275.6,90.6,167.3,145.1,329.3,124.3,172.6,217.3,132.4,149.6,149.4,191.6,314.2,144.1,112.4,173.3,183.8,93.9,149.7,58.2,106.6,85.3,40.7,80.9,328.2,87.7,211.6,62.2,123.7,339.6,171.3,339.6,229,29.6,172.7,135.6,71.1,129.9,75.9,300.6,316.9,71,200.7,127.6,64
"BaconCounty",21.2,40.3,8.7,140.3,131.7,234.4,212.8,263.9,61.6,65.8,133.2,87.1,46.9,100.3,85.5,85,122.3,167.6,151.7,90.3,73.3,257.5,321.7,71.3,105.9,182.2,306.2,255,203.3,171.2,202.5,72.8,237.9,27.8,97.3,155.9,76,235.3,141.1,96.2,341.6,271.8,156.2,217.4,67.7,113.2,114.1,230.9,171.9,91.2,108.5,203.9,79.5,63.3,313,211.8,292.7,254,231.9,216.6,295.8,136.6,69.8,286.5,134.5,164.6,238.3,289,265.4,140.2,262,190.8,222.3,259,189.1,112.3,53.1,226.8,173.7,27.8,114.2,103,89.6,142.5,169.9,63.1,80.2,113.5,81.5,172.4,65.8,82.2,281.6,146.4,81.3,130.4,217.7,159.6,188.9,164.6,128.1,152.1,55.1,174.6,303.7,188.8,192.5,196.6,189,242.5,123.9,278.9,26.9,183.3,266.5,90.8,154.3,177.4,320.1,156.6,146.8,208.1,142,110.3,180.8,182.5,252.8,176.3,128.1,167.9,162.5,54.6,144.3,54.2,131.2,116.8,72.9,48.9,319.1,66.4,213.3,77.9,110.7,330.5,165.9,330.5,212.3,32,147,114.3,44.5,152.3,57.7,291.4,307.8,87.1,175,114.6,96.2
"BakerCounty",160.6,108.1,140.3,9.6,164.3,283.3,232.1,244.3,95.3,81.5,131.8,115.1,162.9,77,247.2,218.9,230.3,172.4,28.5,205,198.3,187.6,302.1,180.2,258.5,81.1,286.6,235.4,225.2,48,199.9,127.3,218.3,120.9,42.2,258.3,66.5,165.6,134.7,66.8,322,260.3,43.4,214.7,120,79.6,26.7,203.8,48.7,112.8,248.2,258.6,192,189.6,293.4,186.3,273.1,242.5,260.8,214,276.1,219.5,198.8,266.9,39.7,199.5,235.6,286.4,262.7,185.7,203.5,120.4,268.2,166,186.5,115.8,91,271.4,179.9,144.4,200.4,217.4,171.6,147.9,159.3,87.8,144.5,43.8,216.1,248.8,200.5,84.7,270.1,225.4,211.4,94.5,239.6,85.9,148,32.3,17.2,149.5,150.8,196.6,284.1,98.7,197.4,218.6,227.8,222.9,117.6,259.3,155.1,152.4,233.1,103.3,176.3,69.6,317.5,54,267.5,205.5,82.5,244.3,54.3,179.8,302.5,73.8,70.9,109.9,215.1,186.1,106.6,126.7,37.7,44.9,68.2,163.4,316.5,160.8,142.8,66.5,141.2,310.9,134.7,310.9,217.2,137.6,213.1,197.4,179.1,61.1,138.3,288.8,288.2,89.1,231.8,161.3,48.1
"BaldwinCounty",126.3,144.8,131.7,164.3,8.4,103.6,81.9,148.9,120.3,165.2,33.4,66.8,177.5,182.8,153.8,125.6,87.1,55.2,175.7,248.1,105,153,206.7,202,165.1,136.1,191.2,140,72.5,178.3,102.8,177.3,122.9,123.9,161.3,85.2,159.7,130.7,63.5,99.1,226.6,134.7,199.6,94.2,79.9,82.1,138.1,126.4,195.9,206.7,154.8,105.9,76.2,125.9,198,112,177.7,117,108.1,102.4,180.7,56,221,171.5,185.8,46.7,99.4,121.5,108.6,22.2,157.5,121.4,115.4,154.5,89.4,54.2,140.1,95.9,42.2,110.5,64.9,85.5,52.5,21.6,70.2,181,52,133.3,165,89.6,153.6,181.7,136.5,61.9,204.1,78.3,86.9,115.3,105.1,188.6,162,52.4,91.3,43.8,188.7,126.2,67.9,65.8,75,138,55.3,163.9,157.5,83.6,162,79.3,23.5,166.4,152.6,153.5,89.7,73.4,104,107.2,210.6,82.8,122,143.3,108.9,98.1,48.9,124.4,78.7,87.9,133.4,186.6,136.1,95.9,161.9,74.6,129.5,115.7,38.2,169.1,85.2,215.4,70,162.7,49.6,33.8,161.2,124.4,86.9,135.6,192.8,113.9,72.6,21.4,126.3
"BanksCounty",221,247.4,234.4,283.3,103.6,7.9,34.2,109.2,212.4,284.3,125.5,158.9,272.3,301.8,247.8,205.9,156.3,93.5,269.9,342,198.9,125.3,167.1,296.7,259.1,202.8,151.5,82.9,31.2,264.6,93.3,279.9,83.2,226.5,280.3,119.3,278.7,118.9,162,218.2,186.9,60,318.6,70,178.1,201.2,257.1,98.7,277.8,325.7,225.3,50.9,174.7,219.9,86.7,105.4,138.1,58.4,28.5,75,90.7,118.1,315,131.9,304.8,67.8,52.5,21.2,37.3,96.7,129.9,169.7,42.1,146.1,101,176.5,259.2,19.6,92.2,213.1,137.7,175.2,144.3,110.6,132.3,300.1,154.6,252.4,259,95.5,247.6,300.8,52.5,101.8,298,188.6,28.4,185,147.1,291.2,281.1,134.4,186,64.3,123.4,184.8,69.8,42.5,48.9,108.5,174.4,89.2,252.3,130.4,132.4,171.4,86.2,240.1,52.3,245,128.5,69.4,197.2,189.6,311.4,116.6,37.3,219,227.9,160.6,79.7,218.3,173.3,190.6,247.1,305.7,255.2,190.6,61.6,169.4,147.9,234.7,143.4,68.8,144.1,175.8,50.1,265.3,104.6,123.4,255.2,231.4,189.6,35.3,153.1,232.9,77.3,124.1,245.4
"BarrowCounty",207.3,243.9,212.8,232.1,81.9,34.2,6.6,83.3,194.5,233,95.7,131.5,258.5,250.6,230.2,201,151.4,59.6,243.9,324.5,181.4,99.4,141.1,283,241.5,176.8,125.6,62.4,24,238.7,67.4,278.3,57.3,204.9,229.1,114.3,227.5,92.9,112.2,166.9,161,49.3,267.4,44.1,150.6,149.9,205.9,72.8,251.9,274.5,220.4,57.9,157.2,202.3,104.1,79.4,112.1,37.8,47.2,49.1,80,100.6,297.5,105.9,253.6,50.3,23.1,52.3,27,79.2,103.9,143.8,60.8,120.2,56.3,125.2,207.9,16.9,52.1,191.5,120.1,170.3,126.8,82.2,79.9,248.8,133,201.1,241.4,89,230.1,249.5,54.9,96.8,280.5,138.7,38.9,159,121.2,265.3,229.8,83.1,172.3,42.4,102.8,158.9,36,20.8,42.4,74.9,123.1,68.7,238.5,104.5,98.9,153.5,64.5,214.1,83.4,219.1,123.5,35.6,171.2,184.6,285.5,75.7,57.7,193.1,176.7,134.6,71.1,200.8,130.9,168.9,221.1,254.4,203.9,176.9,82.4,155.6,121.9,183.5,116,88.2,99.1,149.9,16.2,243.7,87.1,105.8,237.6,205.4,167.9,54.7,127.2,181.7,70.9,102.4,194.1
"BartowCounty",261,273,263.9,244.3,148.9,109.2,83.3,11.2,223.6,262.2,136.1,171.8,312.2,279.7,288.6,260.3,226.2,101.2,230.8,382.8,239.7,58.3,63.8,336.7,299.9,163.6,44,24.1,104.7,225.5,65,307.4,30.2,246.5,258.2,189.2,256.6,79.8,133.7,196.1,83.7,54.8,275,56,191,179.1,235,40.9,238.7,303.6,289.5,138.6,233.3,260.6,73.1,77.1,29.3,50.6,122.3,43.8,55.9,175.4,355.8,28.6,282.7,130.3,61.5,112.2,67.9,157.2,54.1,130.6,135.9,78.3,78.9,154.4,237.1,97.3,115.7,242.6,195,245.1,199.4,147.8,103.9,278,185.9,230.2,299.8,169.8,288.4,278.6,72,171.7,338.8,160.3,119.6,157.8,108,252.1,259,112.3,226,110.8,45.8,145.7,89.2,101.5,123.2,28.6,152.3,39,292.3,102.1,34.4,182.6,131.4,201,143.4,205.9,198.4,76.2,168.9,259.5,272.3,88.3,128.3,179.9,185.2,133.4,145.9,259.1,145,220.1,207.9,283.5,233.1,230.6,111.3,209.3,108.7,212.6,156.3,90.6,115.8,72.6,86.7,302.5,161.9,183.9,296,192.2,221.7,92.2,49.9,210.8,151.6,161.1,223.3
"BenHillCounty",70.5,49,61.6,95.3,120.3,212.4,194.5,223.6,8.2,38.2,87.8,60.5,97.4,78.7,133.5,124.9,147.1,134.8,106.7,139.5,104.3,217.3,281.5,114.8,164.5,122.9,266,214.8,181.3,126.2,162.3,83.4,197.7,39.6,56.7,169.5,53.1,195,97.2,44.5,301.4,231.5,121.4,177.1,43.1,55.9,69.1,190.6,126.9,89.5,154.2,214.6,107.5,107.6,272.8,171.5,252.5,213.8,216.9,176.4,255.5,136,128.7,246.3,99.8,155.5,198.1,248.8,225.1,141.8,221.8,159.2,224.2,191.6,148.9,69.5,16,233.8,132.8,54.3,125.4,134,96.6,103.9,121.7,57.2,69.5,66.1,124.8,183.7,115.2,66.2,241.4,157.7,140.3,79.1,195.7,108.4,145,119.5,83,111.9,68.8,152.6,263.5,137.5,159.8,174.6,183.8,202.3,80,238.6,85.8,133.3,226.3,41.7,132.3,124,279.9,103.2,171.3,167.9,90.8,150.3,141.5,142.2,264.9,115.5,72.4,124,171.1,104.1,100.3,38.5,83.8,82,29.7,81.4,278.9,80.1,181.6,30.5,79.6,290.3,121.9,290.2,179.6,72.1,150.8,112.1,97.7,96.6,56.3,251.2,267.5,22.6,187.8,104,50.5
"BerrienCounty",86,33.6,65.8,81.5,165.2,284.3,233,262.2,38.2,11,132.7,98,88.3,42,150.3,149.8,173.9,173.3,108.7,130.4,129.3,255.8,320,105.7,175.4,139.1,304.5,253.3,226.2,128.2,200.8,61.4,236.2,46.4,38.9,207.1,17.7,233.5,135.7,69.6,339.9,270,97.8,215.6,80.6,86.6,71.1,229.2,128.9,54.2,173.3,259.6,130.7,128.1,311.3,210,291,252.3,261.8,214.9,294,172.9,124.2,284.8,76.2,200.4,236.6,287.3,263.6,186.7,260.3,178.4,269.1,224,187.4,116.7,29.7,272.4,180.9,69.8,165.3,158.9,133.6,148.8,160.2,21.8,106.4,82.2,141.5,223.6,125.9,30.8,279.9,197.6,136.8,109.8,240.6,139.1,183.5,105.8,70.8,150.4,101.7,197.5,302,156.7,198.3,219.5,228.7,240.8,118.5,277.1,80.5,171.8,264.8,79.2,177.2,134.3,318.4,113.5,198,206.4,121.5,175.1,122.5,180.8,303.4,133.2,101.6,162.5,216,119.4,138.8,71.4,95.7,58.4,29.8,106.4,317.4,113,200.8,51.4,117.2,328.8,160.5,328.8,218.1,63.1,214.1,149,104.5,119.1,89.2,289.7,306.1,60.2,232.7,140.9,53.1
