County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
ApplingCounty,3923,1254,2129,6141,2333,2456
AtkinsonCounty,2038,651,1112,2812,872,890
BaconCounty,2400,681,1368,3753,1414,1480
BakerCounty,665,222,388,1123,523,530
BaldwinCounty,7829,4167,8770,14051,5395,5508
BanksCounty,3821,1343,2042,6592,2297,2300
BarrowCounty,16631,4693,9285,25348,6938,6472
BartowCounty,22222,7262,12313,36577,11172,10611
BenHillCounty,3914,1207,2202,5630,2213,2468
BerrienCounty,4080,1378,2315,6527,2322,2664
BibbCounty,33229,11777,22100,50303,18449,19689
BleckleyCounty,2340,1672,1755,3917,1408,1971
BrantleyCounty,4044,1294,2109,6396,2308,2260
BrooksCounty,3140,1148,1905,5305,2185,2560
BryanCounty,7247,2387,3294,11216,3374,2715
BullochCounty,12002,8574,18336,18684,6220,6401
BurkeCounty,5441,1817,2888,7500,2903,2767
ButtsCounty,4410,1547,3302,8530,2881,2985
CalhounCounty,1115,367,981,2628,806,797
CamdenCounty,11338,3930,9047,16657,4985,4556
CandlerCounty,2364,745,1412,3445,1448,1584
CarrollCounty,23425,9331,17371,36575,11717,12108
CatoosaCounty,13177,4407,7267,22684,7751,8656
CharltonCounty,2138,838,1697,4646,1309,1543
ChathamCounty,50309,19072,48027,84908,29948,32864
ChattahoocheeCounty,2710,1085,3659,2941,452,420
ChattoogaCounty,4902,1585,3297,9160,3270,3801
CherokeeCounty,49664,14354,24073,83125,23432,19698
ClarkeCounty,17533,11940,37702,30402,9185,9952
ClayCounty,600,198,326,881,555,623
ClaytonCounty,62744,20233,39935,95352,23924,17236
ClinchCounty,1519,489,843,2197,882,868
CobbCounty,146422,47982,94847,264405,74450,59972
CoffeeCounty,9264,3205,5920,14596,4680,4691
ColquittCounty,10513,3359,6088,14723,4952,5863
ColumbiaCounty,27708,9457,14118,45124,14946,12700
CookCounty,3929,1188,2152,5618,2005,2320
CowetaCounty,28917,8948,14463,47444,14305,13240
CrawfordCounty,2330,870,1388,4604,1776,1662
CrispCounty,5051,1709,2800,7442,3164,3273
DadeCounty,2885,1453,2243,5465,2190,2397
DawsonCounty,4229,1335,2651,7737,3246,3132
DecaturCounty,5855,2081,3435,9261,3331,3879
DeKalbCounty,138494,44643,112635,261103,72790,62228
DodgeCounty,4002,1862,2750,7546,2621,3015
DoolyCounty,2623,897,1914,5377,2052,2055
DoughertyCounty,20441,7852,15050,28793,10972,11457
DouglasCounty,30953,10250,15691,50734,13531,11244
EarlyCounty,2350,871,1140,3482,1374,1791
