"SCTG","Payload","N"
1,12.2468285097997,9
2,13.9906102244086,1
3,4.70205780360898,52
4,11.2798150119434,3
5,15.3568767024241,9
6,1.43493459274364,13
7,7.03159343550243,52
8,5.88217981494288,13
9,12.5303662811142,0
10,12.7559630168912,2
11,14.7601763932821,0
12,12.5438404591922,69
13,13.7959756690644,10
14,19.7343283246373,0
15,21.9759244651015,0
16,14.0428921341034,0
17,16.7045996550832,12
18,12.0249582490247,12
19,5.22616999930142,14
20,14.6935220971178,9
21,5.12434471305138,2
22,9.93234871988097,4
23,12.2174191704086,4
24,9.66549316294252,2
25,17.5629107877451,2
26,7.60984021529233,19
27,16.5382555630002,3
28,13.1552492378572,1
29,5.51350467372506,5
30,10.307661585523,8
31,14.0869568934943,65
32,12.2402812906222,5
33,2.05317111081765,28
34,9.04001421215319,19
35,6.91185118160956,6
36,3.18039178248404,12
37,17.1134794135312,4
38,4.51852664992441,0
39,7.06406860103406,7
40,4.15582105547322,140
41,8.00754902606457,29
43,10.5061368674049,30
99,13.1421577967371,22
