"County","FIPS","StateFIPS","CountyFIPS"
"AdairCounty",19001,19,1
"AdamsCounty",19003,19,3
"AllamakeeCounty",19005,19,5
"AppanooseCounty",19007,19,7
"AudubonCounty",19009,19,9
"BentonCounty",19011,19,11
"BlackHawkCounty",19013,19,13
"BooneCounty",19015,19,15
"BremerCounty",19017,19,17
"BuchananCounty",19019,19,19
"BuenaVistaCounty",19021,19,21
"ButlerCounty",19023,19,23
"CalhounCounty",19025,19,25
"CarrollCounty",19027,19,27
"CassCounty",19029,19,29
"CedarCounty",19031,19,31
"CerroGordoCounty",19033,19,33
"CherokeeCounty",19035,19,35
"ChickasawCounty",19037,19,37
"ClarkeCounty",19039,19,39
"ClayCounty",19041,19,41
"ClaytonCounty",19043,19,43
"ClintonCounty",19045,19,45
"CrawfordCounty",19047,19,47
"DallasCounty",19049,19,49
"DavisCounty",19051,19,51
"DecaturCounty",19053,19,53
"DelawareCounty",19055,19,55
"DesMoinesCounty",19057,19,57
"DickinsonCounty",19059,19,59
"DubuqueCounty",19061,19,61
"EmmetCounty",19063,19,63
"FayetteCounty",19065,19,65
"FloydCounty",19067,19,67
"FranklinCounty",19069,19,69
"FremontCounty",19071,19,71
"GreeneCounty",19073,19,73
"GrundyCounty",19075,19,75
"GuthrieCounty",19077,19,77
"HamiltonCounty",19079,19,79
"HancockCounty",19081,19,81
"HardinCounty",19083,19,83
"HarrisonCounty",19085,19,85
"HenryCounty",19087,19,87
"HowardCounty",19089,19,89
"HumboldtCounty",19091,19,91
"IdaCounty",19093,19,93
"IowaCounty",19095,19,95
"JacksonCounty",19097,19,97
"JasperCounty",19099,19,99
"JeffersonCounty",19101,19,101
"JohnsonCounty",19103,19,103
"JonesCounty",19105,19,105
"KeokukCounty",19107,19,107
"KossuthCounty",19109,19,109
"LeeCounty",19111,19,111
"LinnCounty",19113,19,113
"LouisaCounty",19115,19,115
"LucasCounty",19117,19,117
"LyonCounty",19119,19,119
"MadisonCounty",19121,19,121
"MahaskaCounty",19123,19,123
"MarionCounty",19125,19,125
"MarshallCounty",19127,19,127
"MillsCounty",19129,19,129
"MitchellCounty",19131,19,131
"MononaCounty",19133,19,133
"MonroeCounty",19135,19,135
"MontgomeryCounty",19137,19,137
"MuscatineCounty",19139,19,139
"OBrienCounty",19141,19,141
"OsceolaCounty",19143,19,143
"PageCounty",19145,19,145
"PaloAltoCounty",19147,19,147
"PlymouthCounty",19149,19,149
"PocahontasCounty",19151,19,151
"PolkCounty",19153,19,153
"PottawattamieCounty",19155,19,155
"PoweshiekCounty",19157,19,157
"RinggoldCounty",19159,19,159
"SacCounty",19161,19,161
"ScottCounty",19163,19,163
"ShelbyCounty",19165,19,165
"SiouxCounty",19167,19,167
"StoryCounty",19169,19,169
"TamaCounty",19171,19,171
"TaylorCounty",19173,19,173
"UnionCounty",19175,19,175
"VanBurenCounty",19177,19,177
"WapelloCounty",19179,19,179
"WarrenCounty",19181,19,181
"WashingtonCounty",19183,19,183
"WayneCounty",19185,19,185
"WebsterCounty",19187,19,187
"WinnebagoCounty",19189,19,189
"WinneshiekCounty",19191,19,191
"WoodburyCounty",19193,19,193
"WorthCounty",19195,19,195
"WrightCounty",19197,19,197
