"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.259863892010043,0.740136107989957,4,6
2,0.329059861637878,0.670940138362122,90,96
3,0.539735174402869,0.460264825597131,16,5
4,0.447438272026885,0.552561727973115,19,10
5,0.0165664920862286,0.983433507913771,1,13
6,0.192501294148437,0.807498705851563,5,1
7,0.036338391326853,0.963661608673147,5,22
8,0.233455388714992,0.766544611285008,1,1
9,0.134342821827482,0.865657178172518,0,0
10,0.511086890555729,0.488913109444271,3,1
11,0.532061763030145,0.467938236969855,5,0
12,0.632535022720606,0.367464977279393,37,12
13,0.574043705293349,0.425956294706651,6,1
14,0.296984478905375,0.703015521094625,0,0
15,0.254762106060935,0.745237893939064,0,0
16,0.292247289852626,0.707752710147374,0,0
17,0.0512840369554983,0.948715963044502,0,0
18,0.595712731390873,0.404287268609127,3,1
19,0.458896381705954,0.541103618294046,7,1
20,0.153884141884506,0.846115858115494,1,1
21,0.48565728180227,0.51434271819773,0,0
22,1,0,23,0
23,0.220262195048898,0.779737804951102,7,2
24,0.143309869173441,0.856690130826559,2,2
25,0.172627570488467,0.827372429511533,1,2
26,0.304442546116016,0.695557453883984,6,3
27,0.0664638925860683,0.933536107413932,0,0
28,0.13006920545436,0.86993079454564,1,4
29,0.499509853805331,0.500490146194669,1,0
30,0.122154702334916,0.877845297665084,0,1
31,0.836357339185871,0.163642660814129,28,4
32,0.111509729259209,0.888490270740792,2,4
33,0.510180480310863,0.489819519689137,22,3
34,0.0431163993699488,0.956883600630051,3,13
35,0.267488635666556,0.732511364333444,0,0
36,0.250595909382155,0.749404090617845,15,17
37,0.0687078468861626,0.931292153113837,1,2
38,0.301345390186715,0.698654609813286,0,0
39,0.187779510082017,0.812220489917983,4,0
40,0.302977247613386,0.697022752386614,84,57
41,0.83576922895228,0.16423077104772,30,2
43,0.0168182985519259,0.983181701448074,2,6
99,0.646446399835973,0.353553600164027,6,1
