Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Access,Ames,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Ames,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Ames,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Ames,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,CedarRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,CedarRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,CedarRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,CedarRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,DesMoines,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,DesMoines,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,DesMoines,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,DesMoines,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,IowaCity,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,IowaCity,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,IowaCity,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,IowaCity,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0
