Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PkgCost,Ames,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Ames,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Ames,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Ames,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Ames,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,CedarRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,CedarRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,CedarRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,CedarRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,CedarRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,DesMoines,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,DesMoines,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,DesMoines,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,DesMoines,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,DesMoines,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,IowaCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,IowaCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,IowaCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,IowaCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,IowaCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0
