"County","Metropolitan","Town"
"AdaCounty",134.208317359078,8.648105647
"AdamsCounty",0,0
"BannockCounty",31.0089134005,0
"BearLakeCounty",0,0
"BenewahCounty",0,1.313784256074
"BinghamCounty",0,14.427848725144
"BlaineCounty",0,9.31944822154
"BoiseCounty",0,0
"BonnerCounty",0,8.453945375954
"BonnevilleCounty",44.508667898736,0.001768733262
"BoundaryCounty",0,2.042100041734
"ButteCounty",0,0
"CamasCounty",0,0
"CanyonCounty",69.015618213808,0.215333718624
"CaribouCounty",0,2.304993418616
"CassiaCounty",0,5.800532354232
"ClarkCounty",0,0
"ClearwaterCounty",0,2.138413957838
"CusterCounty",0,0
"ElmoreCounty",0,15.234488776422
"FranklinCounty",0,2.99620171326
"FremontCounty",0,1.856644054176
"GemCounty",0,5.649637515
"GoodingCounty",0,2.351763498284
"IdahoCounty",0,1.503897792058
"JeffersonCounty",0,8.366721073134
"JeromeCounty",0,4.431213889192
"KootenaiCounty",47.239092053174,2.60592788115
"LatahCounty",0,5.898638941922
"LemhiCounty",0,2.023823903564
"LewisCounty",0,0
"LincolnCounty",0,0
"MadisonCounty",0,7.042517082386
"MinidokaCounty",0,7.03574176449
"NezPerceCounty",16.205370054766,0
"OneidaCounty",0,0
"OwyheeCounty",0,0.899475574464
"PayetteCounty",0,6.416677786852
"PowerCounty",0,1.44294232491
"ShoshoneCounty",0,3.204923435134
"TetonCounty",0,0
"TwinFallsCounty",0,20.825760024286
"ValleyCounty",0,0
"WashingtonCounty",0,2.438793205696
