"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AdamsCounty",158,173,95,1126,5529,1813,4763,843,449,2031,589,916,90,1215,2170,6095,364,2633,1275,1443
"AlexanderCounty",43,56,45,16,176,17,119,135,16,22,2,15,0,24,210,316,0,40,13,78
"BondCounty",62,15,93,168,795,479,308,29,109,116,32,71,8,27,1006,550,70,310,134,544
"BooneCounty",92,16,0,960,7182,455,1222,1040,165,193,58,250,0,337,1479,794,68,866,531,650
"BrownCounty",32,2,1,187,14,1940,83,692,7,45,2,27,0,29,214,148,2,82,39,328
"BureauCounty",711,36,2,427,1604,561,1112,1766,103,317,22,372,29,319,1089,1911,111,677,287,617
"CalhounCounty",32,15,0,22,16,24,100,19,3,81,1,9,0,4,109,119,2,148,22,90
"CarrollCounty",83,8,0,166,820,318,488,111,51,241,14,69,23,107,491,296,13,287,225,271
"CassCounty",51,0,43,168,2491,213,482,410,97,293,10,124,7,87,475,495,11,156,70,301
"ChampaignCounty",286,25,213,2867,7337,3395,8595,2202,2852,2426,1507,4069,388,3604,19975,12527,1265,9294,2161,3217
"ChristianCounty",233,38,215,466,1773,693,1253,132,265,365,86,501,9,425,1316,1923,71,770,282,595
"ClarkCounty",77,86,0,377,1252,102,408,127,73,154,27,92,2,185,452,361,35,491,71,275
"ClayCounty",133,153,10,85,1629,476,426,80,74,150,55,38,23,149,396,731,3,254,138,148
"ClintonCounty",692,0,52,1178,821,623,1770,428,45,265,286,317,5,170,1475,2288,94,959,363,852
"ColesCounty",44,33,138,815,2752,668,2437,251,543,643,190,870,631,2558,4438,3659,153,1888,623,478
"CookCounty",390,385,6353,64367,188661,116704,249104,123314,64189,155152,41307,226103,45806,202378,239876,359845,50027,219274,102676,88922
"CrawfordCounty",35,210,47,519,1933,260,733,111,89,221,83,477,88,846,751,932,36,412,216,485
"CumberlandCounty",95,7,0,88,598,238,390,49,15,93,1,23,0,14,303,377,3,167,61,123
"DeKalbCounty",585,15,266,1244,3712,1006,4257,997,539,882,357,771,160,1951,8429,4653,346,2611,1080,1257
"DeWittCounty",234,4,283,382,494,302,650,129,25,109,26,110,20,466,474,436,45,421,193,302
"DouglasCounty",88,14,21,334,2548,402,924,170,50,206,48,74,11,72,602,398,12,705,207,332
"DuPageCounty",437,198,3114,23644,55162,55134,64531,22972,11799,31797,9087,58327,25028,56042,43755,68665,9509,40743,19575,12119
"EdgarCounty",230,7,35,187,1832,149,460,174,69,550,17,129,1,238,517,911,3,403,122,902
"EdwardsCounty",44,23,1,65,1246,236,197,20,24,75,7,29,0,9,159,90,2,28,49,73
"EffinghamCounty",94,32,81,1105,3994,1167,2758,1171,385,585,119,393,59,546,1105,3238,239,2316,717,643
"FayetteCounty",180,73,6,293,405,400,739,158,71,190,25,168,0,206,579,844,26,519,167,467
"FordCounty",106,4,81,161,655,416,495,117,47,152,34,113,32,80,573,462,18,230,80,248
"FranklinCounty",25,50,15,358,585,251,1426,176,239,259,57,214,51,287,1080,1156,72,908,394,736
"FultonCounty",116,3,39,304,387,332,1183,153,96,391,38,174,3,112,1346,1851,63,582,296,839
"GallatinCounty",91,13,1,60,14,58,90,241,44,21,0,24,0,15,146,50,0,41,31,89
"GreeneCounty",78,5,4,70,68,286,336,62,14,143,5,61,0,24,415,333,7,189,60,254
"GrundyCounty",41,12,1682,1454,1327,603,2131,954,182,353,226,464,9,779,2155,2201,170,1427,499,642
"HamiltonCounty",134,315,5,115,104,112,169,35,20,49,37,36,6,8,221,349,3,105,93,120
"HancockCounty",303,29,32,153,331,206,407,72,54,175,9,174,1,91,778,495,14,279,82,321
"HardinCounty",0,106,11,1,9,2,65,93,5,37,2,2,0,4,83,318,2,24,11,94
"HendersonCounty",12,13,0,49,16,130,128,16,15,93,0,42,4,2,223,146,2,31,11,146
"HenryCounty",377,7,11,923,1744,872,1857,706,262,573,30,384,28,454,1745,1316,228,988,400,1119
"IroquoisCounty",283,8,3,468,685,692,1075,241,99,297,41,127,1,106,1045,1535,10,577,167,288
"JacksonCounty",101,416,68,786,853,411,3231,476,363,666,363,695,586,513,7004,3749,215,2469,610,1181
"JasperCounty",145,41,70,89,173,263,225,183,12,100,11,27,0,23,227,71,26,109,125,189
"JeffersonCounty",21,106,85,373,4527,713,2182,2326,141,630,94,604,39,1100,1681,3491,65,1535,421,804
"JerseyCounty",111,2,32,276,138,190,788,85,25,116,15,214,0,78,731,1046,56,743,98,263
"JoDaviessCounty",50,14,99,402,991,213,800,424,61,249,37,220,126,178,721,590,162,1330,363,335
"JohnsonCounty",3,31,10,50,38,82,153,30,8,77,18,155,0,44,308,238,9,189,35,695
"KaneCounty",574,202,378,8847,31389,12842,21372,3977,4196,8019,1783,10400,956,22818,23137,24152,7087,15631,6408,6921
"KankakeeCounty",459,31,124,1190,5558,2269,5170,2339,461,783,302,1018,199,1936,4730,10930,571,3405,1255,1256
"KendallCounty",62,16,173,1243,3185,1172,4263,2422,314,538,108,1066,27,890,4555,1468,460,2567,1040,777
"KnoxCounty",241,7,95,732,1174,709,3052,485,468,323,206,351,77,723,2288,4593,122,1805,722,1290
"LakeCounty",482,64,1714,10169,52713,23066,38142,5289,4793,12742,3480,21814,7703,26112,30687,35442,8161,22591,8803,7817
"LaSalleCounty",257,690,810,1670,5540,1842,5644,2424,548,1369,608,1079,123,2051,4240,5605,298,3845,1472,2125
"LawrenceCounty",84,372,3,152,1006,196,357,35,43,264,5,50,1,64,333,322,6,240,126,203
"LeeCounty",84,53,32,254,3241,865,1218,133,44,289,100,246,21,409,1229,2602,88,688,420,1037
"LivingstonCounty",248,22,29,663,2636,958,1468,549,1157,484,47,253,58,421,1218,2392,124,784,356,1385
"LoganCounty",120,8,36,204,1173,680,937,461,71,278,87,214,9,88,1001,1293,89,674,406,961
"McDonoughCounty",182,0,28,296,1694,260,1421,95,109,249,121,245,3,150,2675,1730,71,1161,396,579
"McHenryCounty",518,35,94,5707,15541,4932,11800,1494,1160,2104,562,3825,653,6989,11017,9925,2050,6608,3094,3848
"McLeanCounty",471,20,231,2306,4497,2579,7785,2262,743,12019,789,2988,10256,5915,10900,7860,1152,9455,2903,3686
"MaconCounty",117,9,741,2823,9411,1798,4739,2514,619,1447,403,1603,492,1212,4260,6238,592,4705,1653,1755
"MacoupinCounty",145,69,75,525,846,838,1343,396,97,431,78,182,49,199,1427,1566,91,743,307,679
"MadisonCounty",320,147,449,5025,12243,3562,13038,6214,972,3421,954,4333,651,4613,10761,13736,1624,10611,4176,3553
"MarionCounty",116,165,30,475,2526,295,1182,975,182,381,82,243,113,324,1438,2921,157,848,363,335
"MarshallCounty",18,18,0,173,841,176,258,90,44,125,9,39,0,17,292,380,43,244,85,124
"MasonCounty",142,4,55,114,64,245,451,116,55,117,12,34,0,82,459,490,30,344,70,242
"MassacCounty",4,6,160,102,347,84,263,116,13,76,37,43,5,165,421,652,523,270,94,216
"MenardCounty",43,9,49,84,28,118,262,39,9,103,13,85,2,27,375,146,16,64,89,158
"MercerCounty",54,0,3,158,589,133,301,27,67,116,4,45,3,50,649,375,23,165,145,256
"MonroeCounty",103,19,23,510,333,360,1020,310,227,403,104,544,5,442,1312,723,174,1084,267,683
"MontgomeryCounty",161,267,62,420,627,455,1315,187,141,424,71,213,33,217,858,1497,72,758,216,808
"MorganCounty",83,0,80,405,2334,633,1784,433,128,745,74,366,3,294,1785,2611,142,1234,363,904
"MoultrieCounty",35,1,4,256,2035,152,360,195,78,168,28,112,1,20,212,699,37,197,74,223
"OgleCounty",156,12,612,864,3418,744,1968,945,185,514,580,225,40,489,1700,1351,196,957,412,790
"PeoriaCounty",218,42,849,3466,7507,3612,8939,2424,1780,3043,1054,8002,913,7741,7633,25712,2314,7647,3910,3999
"PerryCounty",13,11,4,208,420,211,648,309,64,161,11,74,1,104,475,976,26,375,207,732
"PiattCounty",113,0,2,120,183,311,421,79,42,199,50,100,0,71,485,453,31,272,57,469
"PikeCounty",175,67,22,280,78,279,671,277,39,241,18,65,0,88,523,566,20,296,70,302
"PopeCounty",0,25,15,15,15,4,43,14,1,12,1,5,0,5,96,178,0,5,8,95
"PulaskiCounty",44,0,0,7,73,87,89,119,1,28,1,92,0,105,361,37,0,30,84,208
"PutnamCounty",253,0,55,118,410,113,126,93,36,57,5,29,19,21,171,44,13,75,33,87
"RandolphCounty",20,182,185,516,3409,478,1406,240,107,327,29,133,35,504,875,2253,40,565,280,1484
"RichlandCounty",15,131,53,124,534,358,748,1073,110,218,43,104,0,126,778,1154,27,449,154,368
"RockIslandCounty",63,70,852,2941,11008,3827,7176,2881,1203,3101,499,3527,3979,4097,5990,8915,603,5250,2444,2650
"StClairCounty",220,88,557,3553,4822,2985,13625,5893,1071,2930,935,5912,521,3022,9553,14289,1542,10359,4518,3330
"SalineCounty",48,1158,105,554,458,331,969,455,169,272,50,206,64,147,1051,1766,15,577,200,534
"SangamonCounty",371,305,410,3932,3162,3512,11178,1305,1683,6511,1021,4975,855,5875,9742,18177,1333,9515,5301,41034
"SchuylerCounty",47,511,0,91,63,95,184,27,12,38,11,20,2,26,235,356,0,118,55,145
"ScottCounty",65,0,60,48,140,122,82,15,7,42,1,6,0,10,167,11,9,90,5,180
"ShelbyCounty",80,11,63,190,1240,235,483,121,21,330,14,210,19,105,502,589,93,427,107,444
"StarkCounty",15,0,1,74,252,41,222,73,26,98,8,43,0,9,225,167,5,12,27,76
"StephensonCounty",372,1,3,1023,3497,608,1539,283,103,1078,132,455,96,709,1813,2783,213,1030,605,616
"TazewellCounty",102,12,208,2948,15486,2714,5858,3095,440,2093,448,1540,1196,1176,4685,5155,1413,6216,1619,1719
"UnionCounty",112,36,71,143,286,129,540,35,42,115,25,98,2,61,438,1948,11,299,100,259
"VermilionCounty",151,14,135,614,5016,2341,3172,987,335,1263,125,462,169,1380,2949,3908,116,2019,838,1480
"WabashCounty",39,216,55,201,199,131,365,13,22,83,28,118,15,57,497,584,7,302,137,183
"WarrenCounty",81,11,1,100,2137,186,502,215,24,194,16,189,0,272,548,790,35,584,295,320
"WashingtonCounty",197,22,465,253,1241,579,812,108,9,187,20,153,1,121,357,486,28,356,71,394
"WayneCounty",110,184,66,100,595,207,493,147,35,116,15,106,0,48,589,760,23,288,125,246
"WhiteCounty",54,733,52,159,421,207,607,182,48,134,41,65,0,28,687,529,69,266,202,240
"WhitesideCounty",143,57,11,576,3636,840,2269,1067,216,580,89,528,25,1834,2087,3335,303,1492,548,965
"WillCounty",331,261,2122,12303,22353,17271,27616,13285,3738,5260,2305,10075,2003,14638,24626,24871,5415,18563,9275,8044
"WilliamsonCounty",143,544,281,1046,2732,585,3211,729,543,1780,215,536,35,1498,2273,6173,223,2530,594,1572
"WinnebagoCounty",121,3,843,3436,23740,5682,12416,5432,1638,3725,1096,3659,183,11102,11205,21661,2576,9684,4493,3766
"WoodfordCounty",274,6,8,1033,3050,669,1152,360,142,211,38,167,7,172,1537,1363,155,860,232,487
