"SCTG","Payload","N"
1,12.2468285097997,5
2,12.7829175155587,75
3,9.26724443530638,19
4,11.2798150119434,5
5,15.3568767024241,7
6,8.53746545116583,18
7,13.3929912003656,36
8,10.2941785681165,5
9,12.5303662811142,2
10,12.7559630168912,3
11,14.7601763932821,4
12,12.1686130255503,40
13,14.57148120894,8
14,19.7343283246373,0
15,21.9759244651015,6
16,14.0428921341034,3
17,24.3515448152176,1
18,11.7399553387464,4
19,10.6806667351375,12
20,14.6935220971178,7
21,5.12434471305138,2
22,9.9541557755029,13
23,15.9589203483148,14
24,9.66549316294252,4
25,17.5629107877451,8
26,6.16471097509223,18
27,16.5382555630002,1
28,13.1552492378572,7
29,5.51350467372506,9
30,10.307661585523,3
31,15.0267123900465,44
32,12.2181901723497,20
33,4.7478360544174,37
34,9.95706478378125,22
35,6.91185118160956,2
36,8.71571855957034,29
37,17.1134794135312,1
38,4.51852664992441,0
39,15.7356461029961,13
40,6.9486176289543,165
41,9.35803964893803,34
43,16.7088568599858,37
99,10.8934974922361,2
