Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PkgCost,BloomingtonNormal,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,BloomingtonNormal,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,BloomingtonNormal,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,BloomingtonNormal,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,BloomingtonNormal,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Danville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Danville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Danville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Danville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Danville,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Kankakee,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Kankakee,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Kankakee,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Kankakee,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Kankakee,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Peoria,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Peoria,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Peoria,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Peoria,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Peoria,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Rockford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Rockford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Rockford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Rockford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Rockford,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,StLouis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,StLouis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,StLouis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,StLouis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,StLouis,0,0,0,0,0,0,0,0,0,0,0,0,0
