"County","AdamsCounty","AllenCounty","BartholomewCounty","BentonCounty","BlackfordCounty","BooneCounty","BrownCounty","CarrollCounty","CassCounty","ClarkCounty","ClayCounty","ClintonCounty","CrawfordCounty","DaviessCounty","DearbornCounty","DecaturCounty","DeKalbCounty","DelawareCounty","DuboisCounty","ElkhartCounty","FayetteCounty","FloydCounty","FountainCounty","FranklinCounty","FultonCounty","GibsonCounty","GrantCounty","GreeneCounty","HamiltonCounty","HancockCounty","HarrisonCounty","HendricksCounty","HenryCounty","HowardCounty","HuntingtonCounty","JacksonCounty","JasperCounty","JayCounty","JeffersonCounty","JenningsCounty","JohnsonCounty","KnoxCounty","KosciuskoCounty","LaGrangeCounty","LakeCounty","LaPorteCounty","LawrenceCounty","MadisonCounty","MarionCounty","MarshallCounty","MartinCounty","MiamiCounty","MonroeCounty","MontgomeryCounty","MorganCounty","NewtonCounty","NobleCounty","OhioCounty","OrangeCounty","OwenCounty","ParkeCounty","PerryCounty","PikeCounty","PorterCounty","PoseyCounty","PulaskiCounty","PutnamCounty","RandolphCounty","RipleyCounty","RushCounty","StJosephCounty","ScottCounty","ShelbyCounty","SpencerCounty","StarkeCounty","SteubenCounty","SullivanCounty","SwitzerlandCounty","TippecanoeCounty","TiptonCounty","UnionCounty","VanderburghCounty","VermillionCounty","VigoCounty","WabashCounty","WarrenCounty","WarrickCounty","WashingtonCounty","WayneCounty","WellsCounty","WhiteCounty","WhitleyCounty"
"AdamsCounty",9.5,35.8,139.4,144.6,44.6,126.4,162.6,107.7,87.7,197.4,178.1,108.4,232,228.4,123.5,118.1,58.5,51.8,241.9,102.1,87.7,205.4,172.1,101.2,83.8,275.6,59,194.7,99.3,96.9,225.8,135,72.5,82.6,37.3,178.9,149.5,25.8,164.6,142.4,134.8,252.8,82.7,87.6,172.5,147.8,192.8,76.2,114.5,106.6,219.5,72.4,169.9,150.8,143.8,153.7,73,151.6,215.4,175.1,176.1,262.3,247.3,159,328.8,108.2,165,43.5,133.2,96.9,133.3,176.3,116.2,267.1,136,76.8,218.2,160.7,126.4,85,82.6,298.6,189.1,195.9,57.8,158.8,281.6,194.2,69.4,14.5,114.2,60.6
"AllenCounty",35.8,13.2,172.4,140.1,60.8,142.5,178.7,103.1,83.1,233.2,194.1,119.7,248,244.4,157.9,154.3,28.9,85,258,64.3,115.5,241.2,160.1,135.6,69.3,291.6,65.5,210.7,115.3,111.3,261.5,151.1,99.1,89,39.7,195,142.1,60.1,200.9,178.7,150.9,268.8,44.9,50.1,134.6,110,208.9,90.9,130.6,68.7,235.5,67.9,185.9,166.9,159.8,149.1,35.1,186,231.4,191.2,192.1,278.3,263.3,121.1,344.8,93.8,181.1,77.8,172.6,133,95.5,212.1,130.6,283.1,98.1,47.1,234.2,195.1,121.8,96.2,116.9,314.7,205.1,211.9,53.3,157,297.7,230,103.7,36.8,109.7,26.5
"BartholomewCounty",139.4,172.4,10.4,141,124.8,74.3,21.7,119.2,123.3,63.3,99.8,93.7,100.6,104.9,73,26.7,189.4,105.3,121,201.8,60.8,71.3,115.3,73,140.8,140.9,110.9,76.7,72.6,61.9,91.7,62.5,70.9,99.7,142.3,28.2,157,114.6,43.7,21.5,27.2,118.1,169.2,210.6,197.8,196.7,60.1,91.3,46.4,160.6,88.9,124.6,39.2,94,52.4,161.1,192.4,81.3,84,59.4,103.6,130.9,124.4,211.3,208.6,155.3,91.6,104.5,48.2,47.3,188.1,42.2,29.7,150.7,167.4,207.6,97.4,77.5,111.9,90.6,84.7,178.4,116.5,117.7,140.6,132.8,165.2,60.1,84.9,160.4,134.5,166.8
"BentonCounty",144.6,140.1,141,10.4,122.1,67.5,140.4,46,59,201.8,104.9,56.6,203.2,177.2,190.9,149,157.1,119.2,198.3,142.3,151.6,209.8,49,163.5,81.3,180,102.9,145.8,88.1,112.7,230.2,90.5,132.5,75.1,112.2,163.6,49.4,138.7,183.4,161.2,116.7,157.2,120.9,167.8,75.1,102.8,164,113,93.7,101.1,190.7,76.3,141,56.3,111.5,31.8,145.9,209.6,186.6,114.6,75.9,233.5,178.6,99.2,233.2,68.8,83.7,142,167.3,134.4,143.3,180.7,125.2,236.6,88.4,175.3,122.6,218.7,29.5,82.5,166.8,203.1,73.1,96.7,92.3,34.2,216.3,198.6,157.5,135,38.6,126.9
"BlackfordCounty",44.6,60.8,124.8,122.1,6.6,94.8,131.1,81.9,73.2,185.5,146.5,75.5,200.4,196.8,111.3,87.6,77.7,21.3,210.4,109.9,68.1,193.6,140.5,91.7,82.2,244,26,163.1,67.7,63.6,213.9,103.4,42,49.6,30.7,147.4,138,37.2,134.1,112,103.2,221.2,76.1,99,165.8,141.1,161.3,43.3,82.9,102,187.9,53.6,138.3,119.2,112.2,142.2,80.8,139.4,183.8,143.6,144.5,230.7,215.7,152.3,297.2,105.1,133.5,40.6,105.1,66.4,126.7,164.4,83,235.5,117.3,96,186.6,148.5,92.9,52.1,79.7,267,157.5,164.3,48.2,125.9,250.1,182.4,60.7,35.2,99.7,55.1
"BooneCounty",126.4,142.5,74.3,67.5,94.8,10.6,73.7,45.2,58.8,135.1,77.4,19.7,136.4,128.7,124.2,82.2,159.4,75.4,146.4,151.1,84.9,143.1,46.5,96.7,90.1,174.9,68.8,95.6,21.9,45.9,163.4,23.8,65.7,49,112.4,96.9,83.4,101.6,116.7,94.5,49.9,152.1,118.5,180.7,124.3,123.2,97.3,61.4,27,109.9,123.9,73.9,74.3,25.1,44.7,87.6,162.5,142.9,119.8,76.1,58.8,166.7,147.6,137.8,228.1,91.2,49.7,94.3,100.5,67.7,137.4,114,58.5,171.5,99.8,177.7,117.5,151.9,38.3,39.9,100.1,197.9,80.7,95.2,89.8,60.9,186.1,131.9,90.8,130.4,61,124.5
"BrownCounty",162.6,178.7,21.7,140.4,131.1,73.7,9.2,118.6,129.6,79.6,63.8,93.1,91.1,87.5,96.7,50.5,195.7,111.6,101.1,208.1,80.9,87.6,114.7,96.8,147.1,123.6,117.2,59.4,78.9,68.2,108,61.9,96.6,106,148.6,41.4,156.4,137.8,71.3,49.1,31.5,100.8,175.5,216.9,197.2,196.1,52,97.6,52.7,166.9,78.6,130.9,21.9,93.4,34.7,160.5,198.8,108.9,74.5,42.2,91.9,121.4,106.4,210.7,176.8,154.4,67.4,130.5,77.2,67.4,194.4,58.5,46.4,126.2,166.5,213.9,80.1,104.6,111.3,96.9,96.1,146.6,104.9,80.4,146.9,132.2,140.8,58.7,113,166.7,133.9,173.1
"CarrollCounty",107.7,103.1,119.2,46,81.9,45.2,118.6,10,22,180,122.4,27.1,181.4,173.7,166,124.1,120.1,89.1,191.3,105.3,126.8,188,66,138.6,44.3,219.9,62.7,140.6,61.4,87.8,208.4,68.7,95.5,32.5,75.2,141.8,58.8,108.6,161.6,139.4,94.9,197.1,83.9,130.8,99.7,89.9,142.2,83,71.9,64.1,168.9,39.3,119.2,59,89.7,63,108.9,184.7,164.8,121,99.4,211.7,192.6,96.6,273.1,49.1,86.4,112,142.4,109.5,91.6,158.9,100.3,216.5,61.2,138.3,162.5,193.8,27.8,52.4,142,242.9,102.1,125.9,55.3,63,231,176.8,132.6,98,27.7,89.9
"CassCounty",87.7,83.1,123.3,59,73.2,58.8,129.6,22,10.5,184.1,129.2,40.6,188.2,180.5,166.3,124.4,100.1,82.2,198.1,85.8,127,192.1,78.9,138.9,24.8,226.7,54,147.4,60.1,88.1,212.5,84.6,93.6,26.6,55.2,145.9,63.8,101.7,165.7,143.5,101.8,203.9,64,111.3,99.4,74.7,149,74.8,81.5,44.6,175.7,19.3,126.1,76.5,96.5,68,88.9,185,171.6,127.8,112.3,218.5,199.4,85.9,279.9,33.9,99.3,105.1,142.7,109.8,72.1,163,100.6,223.3,46.1,118.4,169.3,194.1,40.7,45.9,142.3,249.7,115,147,35.3,75.9,237.9,180.9,132.9,78,28.5,69.9
"ClarkCounty",197.4,233.2,63.3,201.8,185.5,135.1,79.6,180,184.1,10,139,154.5,57.2,98.4,98.7,84.7,250.1,166.1,82.9,262.6,118.8,13.7,176,110.8,201.6,121.1,171.6,104,133.4,122.6,34,123.2,128.9,160.5,203.1,51.5,217.7,172.6,37.6,56.2,88,114.1,230,271.4,258.6,257.5,63.8,152.1,107.2,221.4,82.4,185.4,88.2,154.7,113.1,221.9,253.2,78.8,56.8,117.4,164.3,73.3,105.6,272,150.9,216,152.4,162.5,70.7,105.3,248.9,25.1,87.7,93,228.2,268.4,124.7,67.3,172.6,151.4,122.4,120.7,177.3,178.4,201.3,193.6,107.6,30.3,142.9,221.1,195.3,227.6
