County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdamsCounty,9051,2645,3997,10241,3703,4750
AllenCounty,79813,26256,46997,119206,40920,42137
BartholomewCounty,15975,5273,9030,26390,9395,10731
BentonCounty,1883,624,910,2941,1102,1394
BlackfordCounty,2363,872,1314,4207,1742,2268
BooneCounty,13095,4113,5300,21062,6426,6644
BrownCounty,2525,961,1211,5096,2829,2620
CarrollCounty,4028,1452,1953,6817,2723,3182
CassCounty,8208,2878,4336,12999,4671,5874
ClarkCounty,21723,7040,14152,39430,13832,14055
ClayCounty,5248,1878,3057,9221,3435,4051
ClintonCounty,7392,2296,3898,10945,3917,4776
CrawfordCounty,2057,718,1090,3663,1577,1608
DaviessCounty,7668,2299,3911,9667,3642,4461
DearbornCounty,10310,3409,5221,17867,6673,6567
DecaturCounty,5458,1711,2889,8854,3111,3717
DeKalbCounty,9181,3063,4647,14688,5104,5540
DelawareCounty,19285,11105,22789,33819,13396,17277
DuboisCounty,8789,2779,4466,14621,5155,6079
ElkhartCounty,47123,14354,25048,65167,21905,23962
FayetteCounty,4794,1619,2459,7962,3399,4044
FloydCounty,14708,5293,9059,26270,9588,9660
FountainCounty,3394,1211,1684,5731,2177,3043
FranklinCounty,4911,1706,2141,8112,2956,3261
FultonCounty,4241,1468,2160,6794,2745,3428
GibsonCounty,6643,2352,3827,11325,4234,5122
GrantCounty,12368,5914,9771,21620,9015,11373
GreeneCounty,6464,2185,3539,11224,4436,5317
HamiltonCounty,69981,18444,26876,107935,27644,23689
HancockCounty,15174,4781,7038,25378,8694,8937
HarrisonCounty,7650,2626,4446,13998,5193,5451
HendricksCounty,33130,10108,15819,54741,16081,15569
HenryCounty,9003,3317,5320,17255,6566,8001
HowardCounty,16051,5563,9184,27495,11018,13441
HuntingtonCounty,7140,2788,4694,12482,4554,5466
JacksonCounty,8610,2796,4974,14829,5099,6068
JasperCounty,7016,2638,3821,11252,4049,4702
JayCounty,4642,1589,2247,6886,2622,3267
JeffersonCounty,5899,2508,4023,11070,4186,4742
JenningsCounty,6093,2268,3021,10026,3516,3601
JohnsonCounty,30684,9822,16728,49351,15895,17174
KnoxCounty,6714,3484,5649,11722,4809,6062
KosciuskoCounty,16431,5581,9584,25832,9457,10473
LaGrangeCounty,10783,3135,4476,10577,3865,4292
LakeCounty,104733,36400,61000,167640,60362,65870
LaPorteCounty,20780,7372,13757,38883,14808,15867
LawrenceCounty,8909,2995,4662,15620,6386,7562
MadisonCounty,24960,9112,16229,44555,16546,20234
MarionCounty,189936,62576,145733,313705,95341,96102
MarshallCounty,10416,3482,5058,15449,5742,6904
MartinCounty,2039,689,1058,3470,1453,1625
MiamiCounty,6863,2435,4382,13309,4766,5148
MonroeCounty,18863,14875,40096,37104,12989,14047
MontgomeryCounty,7471,2893,4570,12694,4568,5928
MorganCounty,14154,4972,7125,24660,9064,8919
NewtonCounty,2669,982,1374,4907,1942,2370
NobleCounty,10657,3425,5473,16240,5800,5941
OhioCounty,1083,363,597,2203,863,1019
OrangeCounty,3984,1404,2046,6664,2610,3132
OwenCounty,4061,1494,2184,7548,3096,3192
ParkeCounty,3019,1141,2131,5983,2356,2709
PerryCounty,3429,1163,2428,6827,2556,2935
PikeCounty,2362,821,1305,4398,1784,2175
PorterCounty,32722,11911,20462,57325,21560,20363
PoseyCounty,4932,1868,2710,9009,3660,3731
PulaskiCounty,2614,950,1345,4527,1722,2244
PutnamCounty,6464,3278,5649,13017,4424,5131
RandolphCounty,5201,1837,2603,8699,3356,4475
RipleyCounty,6213,2116,2993,9724,3491,4281
RushCounty,3513,1252,1772,5926,2188,2741
StJosephCounty,54277,21003,38111,86154,31821,35565
ScottCounty,4741,1668,2838,8584,3105,3245
ShelbyCounty,8872,3061,4880,15836,5599,6188
SpencerCounty,4067,1490,2013,7282,2955,3145
StarkeCounty,4634,1724,2488,7820,3122,3575
SteubenCounty,6313,2768,4064,11207,4743,5090
SullivanCounty,3709,1466,2730,7639,2745,3186
SwitzerlandCounty,2288,721,1161,3582,1312,1549
TippecanoeCounty,29926,16890,45468,48257,15860,16379
TiptonCounty,2986,1112,1444,5439,2217,2738
UnionCounty,1515,598,753,2530,1033,1087
VanderburghCounty,33435,12676,27637,58195,21864,25896
VermillionCounty,3084,1044,1577,5410,2361,2736
VigoCounty,18979,8584,18293,34755,12726,14511
WabashCounty,6029,2557,3805,10296,4249,5952
WarrenCounty,1598,601,829,2923,1145,1412
WarrickCounty,12749,4089,5687,21186,8020,7958
WashingtonCounty,5864,2006,3007,9979,3579,3827
WayneCounty,13081,4806,8293,22628,8780,11329
WellsCounty,5598,1993,3076,9149,3480,4340
WhiteCounty,4882,1658,2322,8159,3392,4230
WhitleyCounty,6694,2272,3582,11549,4546,4649
