"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.122549959181878,0.877450040818122,1,6
2,0.458338036197725,0.541661963802274,45,39
3,0.428004666402989,0.571995333597011,8,9
4,0.471824291482021,0.528175708517979,8,3
5,0.0763722238391646,0.923627776160835,0,5
6,0.192501294148437,0.807498705851563,6,3
7,0.11531756030564,0.88468243969436,6,16
8,0.233455388714992,0.766544611285008,3,3
9,0.134342821827482,0.865657178172518,0,0
10,0.511086890555729,0.488913109444271,2,2
11,0.532061763030145,0.467938236969855,1,0
12,0.868768688478212,0.131231311521788,37,7
13,0.574043705293349,0.425956294706651,3,0
14,0.296984478905375,0.703015521094625,0,0
15,0.254762106060935,0.745237893939064,1,2
16,0.292247289852626,0.707752710147374,0,0
17,0.0512840369554983,0.948715963044502,0,2
18,0.595712731390873,0.404287268609127,1,2
19,0.470964097597805,0.529035902402195,10,5
20,0.153884141884506,0.846115858115494,0,3
21,0.48565728180227,0.51434271819773,0,1
22,0.693249404438624,0.306750595561376,8,2
23,0.275316789828167,0.724683210171833,5,5
24,0.157116269662782,0.842883730337218,6,7
25,0.172627570488467,0.827372429511533,3,3
26,0.268360254143767,0.731639745856233,11,12
27,0.0664638925860683,0.933536107413932,0,1
28,0.13006920545436,0.86993079454564,0,5
29,0.499509853805331,0.500490146194669,0,1
30,0.122154702334916,0.877845297665084,2,1
31,0.776029767034517,0.223970232965483,20,4
32,0.106906802230521,0.893093197769479,7,19
33,0.56033451468255,0.43966548531745,17,9
34,0.0543822941411048,0.945617705858895,3,20
35,0.267488635666556,0.732511364333444,0,1
36,0.198109218597697,0.801890781402303,12,23
37,0.0687078468861626,0.931292153113837,0,1
38,0.301345390186715,0.698654609813286,0,1
39,0.0704671121069197,0.92953288789308,5,9
40,0.42526916361505,0.57473083638495,78,50
41,0.847137964373107,0.152862035626893,35,4
43,0.0302925237876608,0.969707476212339,2,23
99,0.646446399835973,0.353553600164027,1,0
