Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bloomington,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomington,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomington,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomington,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Evansville,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Evansville,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Evansville,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Evansville,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
FortWayne,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
FortWayne,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
FortWayne,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
FortWayne,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Indianapolis,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Indianapolis,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Indianapolis,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Indianapolis,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokomo,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokomo,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokomo,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokomo,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
LouisvilleJeffersonCounty,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
LouisvilleJeffersonCounty,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
LouisvilleJeffersonCounty,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
LouisvilleJeffersonCounty,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthBend,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthBend,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthBend,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthBend,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
TerreHaute,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
TerreHaute,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
TerreHaute,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
TerreHaute,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
