Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Bloomington,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Bloomington,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Bloomington,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Bloomington,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Chicago,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Chicago,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Cincinnati,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Cincinnati,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Evansville,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Evansville,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Evansville,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Evansville,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,FortWayne,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,FortWayne,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,FortWayne,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,FortWayne,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Indianapolis,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Indianapolis,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Indianapolis,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Indianapolis,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Kokomo,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Kokomo,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Kokomo,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Kokomo,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Lafayette,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Lafayette,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,LouisvilleJeffersonCounty,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,LouisvilleJeffersonCounty,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,LouisvilleJeffersonCounty,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,LouisvilleJeffersonCounty,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,SouthBend,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,SouthBend,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,TerreHaute,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,TerreHaute,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,TerreHaute,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,TerreHaute,0,0,0,0,0,0,0,0,0,0,0,0,0
