County,Metropolitan,Town,Rural
AdamsCounty,0,0,0
AllenCounty,0,0,0
BartholomewCounty,0,0,0
BentonCounty,0,0,0
BlackfordCounty,0,0,0
BooneCounty,0,0,0
BrownCounty,0,0,0
CarrollCounty,0,0,0
CassCounty,0,0,0
ClarkCounty,0,0,0
ClayCounty,0,0,0
ClintonCounty,0,0,0
CrawfordCounty,0,0,0
DaviessCounty,0,0,0
DeKalbCounty,0,0,0
DearbornCounty,0,0,0
DecaturCounty,0,0,0
DelawareCounty,0,0,0
DuboisCounty,0,0,0
ElkhartCounty,0,0,0
FayetteCounty,0,0,0
FloydCounty,0,0,0
FountainCounty,0,0,0
FranklinCounty,0,0,0
FultonCounty,0,0,0
GibsonCounty,0,0,0
GrantCounty,0,0,0
GreeneCounty,0,0,0
HamiltonCounty,0,0,0
HancockCounty,0,0,0
HarrisonCounty,0,0,0
HendricksCounty,0,0,0
HenryCounty,0,0,0
HowardCounty,0,0,0
HuntingtonCounty,0,0,0
JacksonCounty,0,0,0
JasperCounty,0,0,0
JayCounty,0,0,0
JeffersonCounty,0,0,0
JenningsCounty,0,0,0
JohnsonCounty,0,0,0
KnoxCounty,0,0,0
KosciuskoCounty,0,0,0
LaGrangeCounty,0,0,0
LaPorteCounty,0,0,0
LakeCounty,0,0,0
LawrenceCounty,0,0,0
MadisonCounty,0,0,0
MarionCounty,0,0,0
MarshallCounty,0,0,0
MartinCounty,0,0,0
MiamiCounty,0,0,0
MonroeCounty,0,0,0
MontgomeryCounty,0,0,0
MorganCounty,0,0,0
NewtonCounty,0,0,0
NobleCounty,0,0,0
OhioCounty,0,0,0
OrangeCounty,0,0,0
OwenCounty,0,0,0
ParkeCounty,0,0,0
PerryCounty,0,0,0
PikeCounty,0,0,0
PorterCounty,0,0,0
PoseyCounty,0,0,0
PulaskiCounty,0,0,0
PutnamCounty,0,0,0
RandolphCounty,0,0,0
RipleyCounty,0,0,0
RushCounty,0,0,0
ScottCounty,0,0,0
ShelbyCounty,0,0,0
SpencerCounty,0,0,0
StJosephCounty,0,0,0
StarkeCounty,0,0,0
SteubenCounty,0,0,0
SullivanCounty,0,0,0
SwitzerlandCounty,0,0,0
TippecanoeCounty,0,0,0
TiptonCounty,0,0,0
UnionCounty,0,0,0
VanderburghCounty,0,0,0
VermillionCounty,0,0,0
VigoCounty,0,0,0
WabashCounty,0,0,0
WarrenCounty,0,0,0
WarrickCounty,0,0,0
WashingtonCounty,0,0,0
WayneCounty,0,0,0
WellsCounty,0,0,0
WhiteCounty,0,0,0
WhitleyCounty,0,0,0
