County,Metropolitan,Town,Rural
AllenCounty,0,0,0
AndersonCounty,0,0,0
AtchisonCounty,0,0,0
BarberCounty,0,0,0
BartonCounty,0,0,0
BourbonCounty,0,0,0
BrownCounty,0,0,0
ButlerCounty,0,0,0
ChaseCounty,0,0,0
ChautauquaCounty,0,0,0
CherokeeCounty,0,0,0
CheyenneCounty,0,0,0
ClarkCounty,0,0,0
ClayCounty,0,0,0
CloudCounty,0,0,0
CoffeyCounty,0,0,0
ComancheCounty,0,0,0
CowleyCounty,0,0,0
CrawfordCounty,0,0,0
DecaturCounty,0,0,0
DickinsonCounty,0,0,0
DoniphanCounty,0,0,0
DouglasCounty,0,0,0
EdwardsCounty,0,0,0
ElkCounty,0,0,0
EllisCounty,0,0,0
EllsworthCounty,0,0,0
FinneyCounty,0,0,0
FordCounty,0,0,0
FranklinCounty,0,0,0
GearyCounty,0,0,0
GoveCounty,0,0,0
GrahamCounty,0,0,0
GrantCounty,0,0,0
GrayCounty,0,0,0
GreeleyCounty,0,0,0
GreenwoodCounty,0,0,0
HamiltonCounty,0,0,0
HarperCounty,0,0,0
HarveyCounty,0,0,0
HaskellCounty,0,0,0
HodgemanCounty,0,0,0
JacksonCounty,0,0,0
JeffersonCounty,0,0,0
JewellCounty,0,0,0
JohnsonCounty,0,0,0
KearnyCounty,0,0,0
KingmanCounty,0,0,0
KiowaCounty,0,0,0
LabetteCounty,0,0,0
LaneCounty,0,0,0
LeavenworthCounty,0,0,0
LincolnCounty,0,0,0
LinnCounty,0,0,0
LoganCounty,0,0,0
LyonCounty,0,0,0
MarionCounty,0,0,0
MarshallCounty,0,0,0
McPhersonCounty,0,0,0
MeadeCounty,0,0,0
MiamiCounty,0,0,0
MitchellCounty,0,0,0
MontgomeryCounty,0,0,0
MorrisCounty,0,0,0
MortonCounty,0,0,0
NemahaCounty,0,0,0
NeoshoCounty,0,0,0
NessCounty,0,0,0
NortonCounty,0,0,0
OsageCounty,0,0,0
OsborneCounty,0,0,0
OttawaCounty,0,0,0
PawneeCounty,0,0,0
PhillipsCounty,0,0,0
PottawatomieCounty,0,0,0
PrattCounty,0,0,0
RawlinsCounty,0,0,0
RenoCounty,0,0,0
RepublicCounty,0,0,0
RiceCounty,0,0,0
RileyCounty,0,0,0
RooksCounty,0,0,0
RushCounty,0,0,0
RussellCounty,0,0,0
SalineCounty,0,0,0
ScottCounty,0,0,0
SedgwickCounty,0,0,0
SewardCounty,0,0,0
ShawneeCounty,0,0,0
SheridanCounty,0,0,0
ShermanCounty,0,0,0
SmithCounty,0,0,0
StaffordCounty,0,0,0
StantonCounty,0,0,0
StevensCounty,0,0,0
SumnerCounty,0,0,0
ThomasCounty,0,0,0
TregoCounty,0,0,0
WabaunseeCounty,0,0,0
WallaceCounty,0,0,0
WashingtonCounty,0,0,0
WichitaCounty,0,0,0
WilsonCounty,0,0,0
WoodsonCounty,0,0,0
WyandotteCounty,0,0,0
