County,Region,Msa
AdairCounty,,NA
AllenCounty,,NA
AndersonCounty,,NA
BallardCounty,,NA
BarrenCounty,,NA
BathCounty,,NA
BellCounty,,NA
BooneCounty,,Cincinnati
BourbonCounty,,NA
BoydCounty,,Huntington
BoyleCounty,,NA
BrackenCounty,,NA
BreathittCounty,,NA
BreckinridgeCounty,,NA
BullittCounty,,LouisvilleJeffersonCounty
ButlerCounty,,NA
CaldwellCounty,,NA
CallowayCounty,,NA
CampbellCounty,,Cincinnati
CarlisleCounty,,NA
CarrollCounty,,NA
CarterCounty,,NA
CaseyCounty,,NA
ChristianCounty,,Clarksville
ClarkCounty,,NA
ClayCounty,,NA
ClintonCounty,,NA
CrittendenCounty,,NA
CumberlandCounty,,NA
DaviessCounty,,Owensboro
EdmonsonCounty,,NA
ElliottCounty,,NA
EstillCounty,,NA
FayetteCounty,,LexingtonFayette
FlemingCounty,,NA
FloydCounty,,NA
FranklinCounty,,NA
FultonCounty,,NA
GallatinCounty,,NA
GarrardCounty,,NA
GrantCounty,,NA
GravesCounty,,NA
GraysonCounty,,NA
GreenCounty,,NA
GreenupCounty,,Huntington
HancockCounty,,NA
HardinCounty,,ElizabethtownRadcliff
HarlanCounty,,NA
HarrisonCounty,,NA
HartCounty,,NA
HendersonCounty,,Evansville
HenryCounty,,NA
HickmanCounty,,NA
HopkinsCounty,,NA
JacksonCounty,,NA
JeffersonCounty,,LouisvilleJeffersonCounty
JessamineCounty,,LexingtonFayette
JohnsonCounty,,NA
KentonCounty,,Cincinnati
KnottCounty,,NA
KnoxCounty,,NA
LarueCounty,,NA
LaurelCounty,,NA
LawrenceCounty,,NA
LeeCounty,,NA
LeslieCounty,,NA
LetcherCounty,,NA
LewisCounty,,NA
LincolnCounty,,NA
LivingstonCounty,,NA
LoganCounty,,NA
LyonCounty,,NA
McCrackenCounty,,NA
McCrearyCounty,,NA
McLeanCounty,,NA
MadisonCounty,,NA
MagoffinCounty,,NA
MarionCounty,,NA
MarshallCounty,,NA
MartinCounty,,NA
MasonCounty,,NA
MeadeCounty,,ElizabethtownRadcliff
MenifeeCounty,,NA
MercerCounty,,NA
MetcalfeCounty,,NA
MonroeCounty,,NA
MontgomeryCounty,,NA
MorganCounty,,NA
MuhlenbergCounty,,NA
NelsonCounty,,NA
NicholasCounty,,NA
OhioCounty,,NA
OldhamCounty,,LouisvilleJeffersonCounty
OwenCounty,,NA
OwsleyCounty,,NA
PendletonCounty,,NA
PerryCounty,,NA
PikeCounty,,NA
PowellCounty,,NA
PulaskiCounty,,NA
RobertsonCounty,,NA
RockcastleCounty,,NA
RowanCounty,,NA
RussellCounty,,NA
ScottCounty,,LexingtonFayette
ShelbyCounty,,LouisvilleJeffersonCounty
SimpsonCounty,,NA
SpencerCounty,,NA
TaylorCounty,,NA
ToddCounty,,NA
TriggCounty,,NA
TrimbleCounty,,NA
UnionCounty,,NA
WarrenCounty,,BowlingGreen
WashingtonCounty,,NA
WayneCounty,,NA
WebsterCounty,,NA
WhitleyCounty,,NA
WolfeCounty,,NA
WoodfordCounty,,NA
