Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Alexandria,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
BatonRouge,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
BatonRouge,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
BatonRouge,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
BatonRouge,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
LakeCharles,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
LakeCharles,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
LakeCharles,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
LakeCharles,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
NewOrleans,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
NewOrleans,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
NewOrleans,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
NewOrleans,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Shreveport,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Shreveport,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Shreveport,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Shreveport,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Slidell,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Slidell,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Slidell,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Slidell,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
