Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Alexandria,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Alexandria,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Alexandria,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Alexandria,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,BatonRouge,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,BatonRouge,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,BatonRouge,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,BatonRouge,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Lafayette,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Lafayette,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,LakeCharles,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,LakeCharles,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,LakeCharles,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,LakeCharles,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Monroe,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Monroe,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,NewOrleans,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,NewOrleans,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,NewOrleans,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,NewOrleans,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Shreveport,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Shreveport,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Shreveport,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Shreveport,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Slidell,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Slidell,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Slidell,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Slidell,0,0,0,0,0,0,0,0,0,0,0,0,0
