"County","Metropolitan","Town","Rural"
"BarnstableCounty",0.9106,0.0146,0.0748
"BerkshireCounty",0.4506,0.2335,0.3159
"BristolCounty",0.9017,0,0.0983
"DukesCounty",0,0.6097,0.3903
"EssexCounty",0.9576,0,0.0424
"FranklinCounty",0,0.4557,0.5443
"HampdenCounty",0.9143,0,0.0857
"HampshireCounty",0.6821,0.0435,0.2744
"MiddlesexCounty",0.9697,0,0.0303
"NantucketCounty",0,0.811,0.189
"NorfolkCounty",0.9876,0,0.0124
"PlymouthCounty",0.8969,0,0.1031
"SuffolkCounty",0.9993,0,7e-04
"WorcesterCounty",0.7938,0.0223,0.1839
