"SCTG","PctEmpty","N"
1,0.404712182455824,8
2,0.413043027575721,32
3,0.303000695732854,27
4,0.40062253072999,6
5,0.427727653119367,18
6,0.409024936008709,13
7,0.136065155468047,32
8,0.299922683194679,10
9,0.220797674677544,1
10,0.345868222703136,4
11,0.406653723247503,6
12,0.447057849982333,44
13,0.382289317879428,2
14,0.330631811974,0
15,0.394477968299597,1
16,0.411406611770122,0
17,0.405256894636644,2
18,0.136542673996161,13
19,0.307658966212607,6
20,0.319153846071907,1
21,0.163003296356002,0
22,0.381398011930285,3
23,0.329297413853261,6
24,0.259173648542417,1
25,0.430737531709114,2
26,0.279488668074671,21
27,0.207833893632727,2
28,0.216947168869503,5
29,0.142965266998763,5
30,0.150707615637309,3
31,0.453242924270048,37
32,0.217604044021483,8
33,0.404621528525068,58
34,0.204589277141061,24
35,0.159588441529491,8
36,0.39122844284801,21
37,0.179037995207116,2
38,0.253528170079209,1
39,0.318800857749969,25
40,0.120322653495859,193
41,0.252515867039258,49
43,0.0757556726257718,12
99,0.377666020609811,5
