"County","AndroscogginCounty","AroostookCounty","CumberlandCounty","FranklinCounty","HancockCounty","KennebecCounty","KnoxCounty","LincolnCounty","OxfordCounty","PenobscotCounty","PiscataquisCounty","SagadahocCounty","SomersetCounty","WaldoCounty","WashingtonCounty","YorkCounty"
"AndroscogginCounty",11.5,247,27.7,66.3,131.8,35.1,70.6,52.3,48.1,131.2,145.4,33.7,97.6,81.3,181.4,62.5
"AroostookCounty",247,42.5,272.7,231.1,177.8,214.8,208.1,231.1,300.5,118.8,137.7,248.4,183,183.6,161.8,302.4
"CumberlandCounty",27.6,272.7,18,92.9,157.5,60.7,85.6,56.1,58.9,156.8,171.1,38,123.2,107.6,207.1,36.3
"FranklinCounty",66.3,231.1,93,21.5,132.2,55.6,103.1,93.2,86.9,131.6,112.6,89.7,56,104.8,181.8,127.8
"HancockCounty",131.8,177.8,157.5,132.2,24.9,99.5,68.2,91.2,185.3,62,109.8,111.8,106.5,48.3,78.8,187.2
"KennebecCounty",35.1,214.8,60.7,55.6,99.5,15.9,49.8,39.9,88.6,98.9,113.2,36.4,65.3,60.3,149.1,90.4
"KnoxCounty",70.6,208.1,85.6,103.1,68.2,49.8,17.4,32.1,120.2,92.2,132.1,52.8,112.3,35.1,140.3,111.1
"LincolnCounty",52.3,231.1,56.1,93.2,91.2,39.9,32.1,13.6,95.3,115.2,150.2,23.3,102.3,58,163.2,81.7
"OxfordCounty",48.1,300.5,58.9,86.9,185.3,88.6,120.2,95.3,24,184.7,170.4,76.7,121.3,135.4,234.9,88.2
"PenobscotCounty",131.2,118.8,156.8,131.6,62,98.9,92.2,115.2,184.7,30.7,64,132.6,77.2,67.8,101.9,186.5
"PiscataquisCounty",145.4,137.7,171.1,112.6,109.8,113.2,132.1,150.2,170.4,64,34,146.8,64.4,99.9,149.8,200.8
"SagadahocCounty",33.7,248.4,38,89.7,111.8,36.4,52.8,23.3,76.7,132.6,146.8,9.9,98.9,78.7,182.8,63.6
"SomersetCounty",97.6,183,123.2,56,106.5,65.3,112.3,102.3,121.3,77.2,64.4,98.9,32.9,85,156.1,152.9
"WaldoCounty",81.3,183.6,107.6,104.8,48.3,60.3,35.1,58,135.4,67.8,99.9,78.7,85,15,118,137.3
"WashingtonCounty",181.4,161.8,207.1,181.8,78.8,149.1,140.3,163.2,234.9,101.9,149.8,182.8,156.1,118,29.4,236.8
"YorkCounty",62.4,302.4,36.3,127.7,187.2,90.4,111.1,81.7,88.2,186.5,200.8,63.6,152.9,137.3,236.8,18.3
