"County","AlconaCounty","AlgerCounty","AlleganCounty","AlpenaCounty","AntrimCounty","ArenacCounty","BaragaCounty","BarryCounty","BayCounty","BenzieCounty","BerrienCounty","BranchCounty","CalhounCounty","CassCounty","CharlevoixCounty","CheboyganCounty","ChippewaCounty","ClareCounty","ClintonCounty","CrawfordCounty","DeltaCounty","DickinsonCounty","EatonCounty","EmmetCounty","GeneseeCounty","GladwinCounty","GogebicCounty","GrandTraverseCounty","GratiotCounty","HillsdaleCounty","HoughtonCounty","HuronCounty","InghamCounty","IoniaCounty","IoscoCounty","IronCounty","IsabellaCounty","JacksonCounty","KalamazooCounty","KalkaskaCounty","KentCounty","KeweenawCounty","LakeCounty","LapeerCounty","LeelanauCounty","LenaweeCounty","LivingstonCounty","LuceCounty","MackinacCounty","MacombCounty","ManisteeCounty","MarquetteCounty","MasonCounty","MecostaCounty","MenomineeCounty","MidlandCounty","MissaukeeCounty","MonroeCounty","MontcalmCounty","MontmorencyCounty","MuskegonCounty","NewaygoCounty","OaklandCounty","OceanaCounty","OgemawCounty","OntonagonCounty","OsceolaCounty","OscodaCounty","OtsegoCounty","OttawaCounty","PresqueIsleCounty","RoscommonCounty","SaginawCounty","StClairCounty","StJosephCounty","SanilacCounty","SchoolcraftCounty","ShiawasseeCounty","TuscolaCounty","VanBurenCounty","WashtenawCounty","WayneCounty","WexfordCounty"
"AlconaCounty",21.8,250.9,266.4,53,118.2,65.3,362.2,248.1,96.2,153.8,315,271.5,248.7,318.4,125.1,103.8,173.6,123.3,178.1,69.3,259.6,328.2,217.1,121.2,148.1,94,430.1,126.4,154.5,271,391.1,160.6,202.8,200.7,36.4,368.1,150.6,235,273.6,93.2,225.6,427.3,176.7,176.3,144.8,240.3,188,214.2,157.3,207.7,177.7,309,199.7,180,316.9,124.2,112.3,235.2,196.1,57.4,231.5,196.2,186.6,230.8,62.3,404.4,161.6,39,87.4,246.6,81.2,82.9,119.1,209.4,292,174,237.7,172.5,136.4,303.7,206.5,208.7,141.2
"AlgerCounty",250.9,36.6,400.8,217.5,205.3,280.4,111.6,394.8,298.7,255.2,449.5,418.2,395.3,451.1,196,155.5,110.3,257.8,334.6,212.2,53.5,114.8,363.7,155.7,343.9,265.2,188.4,228.3,306.8,427.3,140.5,356.4,353.5,350.3,290.4,134.4,285,391.3,420.2,227.3,360,176.7,311.1,372.1,246.7,420.5,383.8,70.5,99.1,403.5,279,58.5,334.1,314.5,103.5,293.2,246.7,431,330.5,194.5,365.9,330.6,382.4,365.3,259.7,153.9,296,228,182.8,381.1,188.8,230.4,314.9,405.3,438.6,369.8,32.9,353.1,332.3,427.8,402.4,404.5,275.6
"AlleganCounty",266.4,400.8,22,284.6,206.3,207.4,512.1,52.1,198.1,169.6,66.2,90.6,66.6,62.6,219,262.9,323.5,160.8,110.9,200.6,409.5,469,80.9,239.4,152.5,176.8,573.8,182.4,121.5,117,541,245.3,97.7,77.6,246.2,511.3,125.5,101.9,39.6,179,48.5,577.2,119.7,178.1,205,138.3,130.7,364.1,307.2,196.9,146.8,458.9,116.7,109.2,447.8,151,156,170.2,88.2,256,54.2,88.5,174.8,89.6,215.5,574.1,130.8,229.9,226.3,34.2,289.6,188.2,156.2,211.3,63.1,227.4,387.6,134.1,199.7,35.1,137.5,168.8,147.5
"AlpenaCounty",53,217.5,284.6,21.2,111.7,99,328.8,280.8,135.5,164.6,333.3,304.2,281.3,335,104.8,83.5,140.2,141.6,218.5,87.6,226.2,294.7,249.8,100.8,180.7,117.9,396.6,137.7,190.6,303.6,357.6,193.3,235.5,234.1,70.2,334.6,168.9,267.7,306.3,111.4,243.8,393.9,195,209,156.1,272.9,220.7,180.8,123.9,240.4,188.4,275.6,218,198.3,283.4,142.3,130.6,267.8,214.4,37,249.7,214.4,219.3,249.1,80.6,371,179.9,57.3,67.1,264.9,46.6,101.2,151.7,242.1,324.7,206.6,204.3,205.2,169.1,311.7,239.2,241.4,159.5
"AntrimCounty",118.2,205.3,206.3,111.7,12.6,122.6,316.6,199.9,140.9,79,255,257.9,235,256.6,26.5,83,128,97.5,174.3,52.4,214.1,282.6,203.4,59,186.1,111.4,384.5,52.1,146.5,267,345.5,198.6,193.2,158.6,132.6,322.5,124.8,231.1,220.1,32.9,165.5,381.7,107.7,214.4,70.5,260.3,226.1,168.6,111.7,245.7,102.9,263.4,139.7,121,271.3,132.9,61,273.2,153,76.8,171.4,136.1,224.7,170.8,101.9,358.8,96.3,81.7,47.1,186.6,109.7,72.6,157.1,247.5,243.6,212,192.1,192.8,174.5,233.4,244.6,246.8,76
"ArenacCounty",65.3,280.4,207.4,99,122.6,13.4,391.7,185.3,33.4,143.5,268.3,208.7,185.8,255.6,137.8,142.4,203.1,54.3,115.3,80.2,289.1,357.6,154.3,150.7,85.2,31.1,459.6,130.8,91.7,208.1,420.5,97.8,140,137.9,38.7,397.6,80.7,172.2,210.8,97.6,166.5,456.8,117.7,113.5,149.2,177.4,125.2,243.7,186.8,144.9,144.4,338.5,140.7,110.1,346.4,61.3,82.1,172.3,126.2,94.4,172.4,137.1,123.8,171.8,37.2,433.9,91.7,62.5,105.8,187.6,123.1,61.3,56.3,146.6,229.2,111.1,267.2,109.7,73.6,240.9,143.7,145.9,100.1
"BaragaCounty",362.2,111.6,512.1,328.8,316.6,391.7,16.8,506,410,366.5,485.7,529.5,506.6,504.1,307.3,266.8,221.6,369,445.9,323.5,123.8,83.2,475,267,455.2,376.5,100.6,339.5,418,538.6,33,467.7,464.8,461.5,401.7,46.6,396.3,502.6,538.8,338.6,471.3,69.3,422.4,483.4,358,531.8,495.1,181.8,210.4,514.8,390.3,58.2,445.4,425.7,129,404.5,358,542.3,441.8,305.8,477.2,441.9,493.7,476.5,371,52.6,407.3,339.3,294.1,492.4,300.1,341.6,426.2,516.6,540.2,481.1,144.2,464.4,443.5,517.3,513.7,515.8,386.9
"BarryCounty",248.1,394.8,52.1,280.8,199.9,185.3,506,12.4,150.9,179.7,92.3,70.3,38.8,79.6,212.6,256.8,317.5,146.8,63.8,194.6,403.5,495.1,33.7,233.1,105.4,159.8,600,176,90.3,89.2,534.9,198.2,50.5,37.7,221.6,537.5,103.3,74.1,34.8,172.6,36,571.2,114.3,131,198.7,110.5,83.5,358.1,301.2,139.6,170.7,452.9,140.6,102.8,474,126.2,149.7,142.4,74.3,249.9,78.1,83.1,117.6,113.5,200.8,548.3,124.4,226,220.2,57.4,283.5,182.1,122,164.1,66.5,180.3,381.6,86.9,152.6,64.9,109.7,129,141.1
"BayCounty",96.2,298.7,198.1,135.5,140.9,33.4,410,150.9,12.9,148.7,233.9,174.3,151.4,221.2,156.1,160.7,221.4,68.2,80.9,98.5,307.4,376,119.9,169,50.9,49.5,477.9,149.1,57.3,173.7,438.9,59.9,105.6,103.5,69.6,415.9,51.1,137.8,176.4,115.9,131.3,475.1,116,79.1,167.5,143.1,90.8,262,205.1,110.5,154.5,356.8,139,80.5,364.7,27,100.4,137.9,86.2,112.7,144.4,135.5,89.4,170.1,55.5,452.2,90,80.8,124.1,152.4,156.8,79.7,21.9,112.2,194.8,71.1,285.5,75.3,33.5,206.5,109.3,111.5,110.2
"BenzieCounty",153.8,255.2,169.6,164.6,79,143.5,366.5,179.7,148.7,15.1,215.5,247.3,226.8,236.4,96.5,135.9,177.9,89.4,163.8,88.1,263.9,332.4,192.9,108.9,190.4,108,434.4,38.8,135.9,256.4,395.3,206.5,182.7,147.4,153.6,372.4,114.2,220.5,199.8,61.8,145.2,431.6,64.3,218.7,56.1,249.7,215.7,218.5,161.6,250.1,27.3,313.3,55.9,100.7,321.1,125.7,63.4,277.5,132.7,129.8,116.6,97.8,229,91.1,122.9,408.7,76,117.3,100,146.5,162.6,95.5,153.5,251.8,223.3,216.3,242,182.2,178.8,202.5,248.9,251.1,41.6
