Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Detroit,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandRapids,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandRapids,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandRapids,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandRapids,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalamazoo,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalamazoo,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalamazoo,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalamazoo,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Lansing,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Lansing,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Lansing,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Lansing,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Saginaw,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Saginaw,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Saginaw,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Saginaw,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthBend,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthBend,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthBend,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthBend,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
