Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Access,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,GrandRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,GrandRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,GrandRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,GrandRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Kalamazoo,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Kalamazoo,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Kalamazoo,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Kalamazoo,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Lansing,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Lansing,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Lansing,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Lansing,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,Saginaw,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,Saginaw,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,Saginaw,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,Saginaw,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
Incident,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
