Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Detroit,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Detroit,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,GrandRapids,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,GrandRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,GrandRapids,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,GrandRapids,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Jackson,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Jackson,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Kalamazoo,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Kalamazoo,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Kalamazoo,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Kalamazoo,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Lansing,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Lansing,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Lansing,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Lansing,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Saginaw,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Saginaw,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Saginaw,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Saginaw,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,SouthBend,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,SouthBend,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,SouthBend,0,0,0,0,0,0,0,0,0,0,0,0,0
