Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtSmooth,Duluth,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Duluth,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Duluth,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Duluth,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Fargo,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Fargo,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Fargo,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Fargo,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,GrandForks,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,GrandForks,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,GrandForks,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,GrandForks,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,LaCrosse,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,MinneapolisStPaul,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,MinneapolisStPaul,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,MinneapolisStPaul,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,MinneapolisStPaul,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Rochester,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Rochester,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Rochester,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Rochester,0,0,0,0,0,0,0,0,0,0,0,0,0
