"SCTG","PctEmpty","N"
1,0.0608975227975799,14
2,0.475573873909958,101
3,0.106432927801941,26
4,0.445923942619331,27
5,0.12520855525224,21
6,0.266414182938801,17
7,0.29868977458936,95
8,0.209453973305391,8
9,0.220797674677544,1
10,0.345868222703136,2
11,0.406653723247503,2
12,0.409434620063153,82
13,0.382289317879428,9
14,0.330631811974,1
15,0.394477968299597,1
16,0.411406611770122,1
17,0.405256894636644,5
18,0.30780628855648,7
19,0.3196409654811,14
20,0.319153846071907,4
21,0.163003296356002,0
22,0.39802818598588,14
23,0.329297413853261,4
24,0.259173648542417,6
25,0.316781637583101,16
26,0.296381658692143,33
27,0.207833893632727,1
28,0.216947168869503,5
29,0.142965266998763,2
30,0.150707615637309,7
31,0.369961050769348,62
32,0.261389067139357,18
33,0.101435332223795,49
34,0.264532429413767,40
35,0.159588441529491,3
36,0.241411166701172,29
37,0.179037995207116,6
38,0.253528170079209,0
39,0.144676859781142,28
40,0.187245801814476,199
41,0.330798821346504,41
43,0.0979022049660469,95
99,0.377666020609811,6
