"County","Metropolitan","Town","Rural"
"AdairCounty",0,0.6215,0.3785
"AndrewCounty",0.09,0.2971,0.6128
"AtchisonCounty",0,0,1
"AudrainCounty",0,0.588,0.412
"BarryCounty",0,0.2674,0.7326
"BartonCounty",0,0.3604,0.6396
"BatesCounty",0,0.2273,0.7727
"BentonCounty",0,0.1346,0.8654
"BollingerCounty",0,0,1
"BooneCounty",0.767,0.0451,0.1879
"BuchananCounty",0.866,2e-04,0.1337
"ButlerCounty",0,0.4782,0.5218
"CaldwellCounty",0,0,1
"CallawayCounty",0.1046,0.2751,0.6203
"CamdenCounty",0,0.2577,0.7423
"CapeGirardeauCounty",0.695,0,0.305
"CarrollCounty",0,0.3546,0.6454
"CarterCounty",0,0,1
"CassCounty",0.501,0.175,0.324
"CedarCounty",0,0.247,0.753
"CharitonCounty",0,0,1
"ChristianCounty",0.552,0,0.448
"ClarkCounty",0,0,1
"ClayCounty",0.8093,0.0926,0.0982
"ClintonCounty",0,0.2379,0.7621
"ColeCounty",0.7093,0,0.2907
"CooperCounty",0,0.468,0.532
"CrawfordCounty",0,0.2669,0.7331
"DadeCounty",0,0,1
"DallasCounty",0,0.1807,0.8193
"DaviessCounty",0,0,1
"DeKalbCounty",0,0.376,0.624
"DentCounty",0,0.3143,0.6857
"DouglasCounty",0,0.2088,0.7912
"DunklinCounty",0,0.4954,0.5046
"FranklinCounty",0,0.444,0.556
"GasconadeCounty",0,0.1913,0.8087
"GentryCounty",0,0,1
"GreeneCounty",0.8394,0.0206,0.14
"GrundyCounty",0,0.5454,0.4546
"HarrisonCounty",0,0.2961,0.7039
"HenryCounty",0,0.5045,0.4955
"HickoryCounty",0,0,1
"HoltCounty",0,0,1
"HowardCounty",0,0.3594,0.6406
"HowellCounty",0,0.2783,0.7217
"IronCounty",0,0.2515,0.7485
"JacksonCounty",0.9571,0.0045,0.0384
"JasperCounty",0.6308,0.1322,0.2369
"JeffersonCounty",0.6529,0.0452,0.302
"JohnsonCounty",0,0.4956,0.5044
"KnoxCounty",0,0,1
"LacledeCounty",0,0.3949,0.6051
"LafayetteCounty",0.0013,0.4292,0.5695
"LawrenceCounty",0,0.4131,0.5869
"LewisCounty",0,0,1
"LincolnCounty",0,0.2517,0.7483
"LinnCounty",0,0.3355,0.6645
"LivingstonCounty",0,0.634,0.366
"McDonaldCounty",1e-04,0,0.9999
"MaconCounty",0,0.3221,0.6779
"MadisonCounty",0,0.3449,0.6551
"MariesCounty",0,0,1
"MarionCounty",0,0.7523,0.2477
"MercerCounty",0,0,1
"MillerCounty",0,0.2022,0.7978
"MississippiCounty",0,0.673,0.327
"MoniteauCounty",0,0.473,0.527
"MonroeCounty",0,0,1
"MontgomeryCounty",0,0.2149,0.7851
"MorganCounty",0,0,1
"NewMadridCounty",0,0.4314,0.5686
"NewtonCounty",0.1499,0.2057,0.6444
"NodawayCounty",0,0.5657,0.4343
"OregonCounty",0,0.1947,0.8053
"OsageCounty",0,0,1
"OzarkCounty",0,0,1
"PemiscotCounty",0,0.5073,0.4927
"PerryCounty",0,0.4438,0.5562
"PettisCounty",0,0.6222,0.3778
"PhelpsCounty",0,0.5378,0.4622
"PikeCounty",0,0.4562,0.5438
"PlatteCounty",0.7416,0.1003,0.1581
"PolkCounty",0,0.3113,0.6887
"PulaskiCounty",0,0.5597,0.4403
"PutnamCounty",0,0,1
"RallsCounty",0,0.0389,0.9611
"RandolphCounty",0,0.5482,0.4518
"RayCounty",0,0.2478,0.7522
"ReynoldsCounty",0,0,1
"RipleyCounty",0,0,1
"StCharlesCounty",0.9417,0,0.0583
"StClairCounty",0,0,1
"SteGenevieveCounty",0,0.2386,0.7614
"StFrancoisCounty",0,0.6024,0.3976
"StLouisCounty",0.9773,0.0113,0.0114
"SalineCounty",0,0.5419,0.4581
"SchuylerCounty",0,0,1
"ScotlandCounty",0,0,1
"ScottCounty",0,0.5845,0.4155
"ShannonCounty",0,0,1
"ShelbyCounty",0,0,1
"StoddardCounty",0,0.3021,0.6979
"StoneCounty",0,0.1131,0.8869
"SullivanCounty",0,0,1
"TaneyCounty",0,0.5614,0.4386
"TexasCounty",0,0.0079,0.9921
"VernonCounty",0,0.4174,0.5826
"WarrenCounty",0,0.3696,0.6304
"WashingtonCounty",0,0.1952,0.8048
"WayneCounty",0,0,1
"WebsterCounty",0,0.2607,0.7393
"WorthCounty",0,0,1
"WrightCounty",0,0.2337,0.7663
"StLouiscity",1,0,0
