Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
HighDenRate,Columbia,,,,,,,,,,,,,
MedDenRate,Columbia,,,,,,,,,,,,,
HighDenRate,FayettevilleSpringdaleRogers,,,,,,,,,,,,,
MedDenRate,FayettevilleSpringdaleRogers,,,,,,,,,,,,,
HighDenRate,JeffersonCity,,,,,,,,,,,,,
MedDenRate,JeffersonCity,,,,,,,,,,,,,
HighDenRate,Joplin,,,,,,,,,,,,,
MedDenRate,Joplin,,,,,,,,,,,,,
HighDenRate,KansasCity,,,,,,,,,,,,,
MedDenRate,KansasCity,,,,,,,,,,,,,
HighDenRate,Springfield,,,,,,,,,,,,,
MedDenRate,Springfield,,,,,,,,,,,,,
HighDenRate,StJoseph,,,,,,,,,,,,,
MedDenRate,StJoseph,,,,,,,,,,,,,
HighDenRate,StLouis,,,,,,,,,,,,,
MedDenRate,StLouis,,,,,,,,,,,,,
