Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtSmooth,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,FayettevilleSpringdaleRogers,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,FayettevilleSpringdaleRogers,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,FayettevilleSpringdaleRogers,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,FayettevilleSpringdaleRogers,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,JeffersonCity,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,JeffersonCity,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,JeffersonCity,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,JeffersonCity,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Joplin,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Joplin,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Joplin,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Joplin,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,KansasCity,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,KansasCity,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,KansasCity,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,KansasCity,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,StJoseph,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,StJoseph,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,StJoseph,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,StJoseph,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,StLouis,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,StLouis,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,StLouis,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,StLouis,0,0,0,0,0,0,0,0,0,0,0,0,0
