County,Metropolitan,Town,Rural
AdairCounty,0,0,0
AndrewCounty,0,0,0
AtchisonCounty,0,0,0
AudrainCounty,0,0,0
BarryCounty,0,0,0
BartonCounty,0,0,0
BatesCounty,0,0,0
BentonCounty,0,0,0
BollingerCounty,0,0,0
BooneCounty,0,0,0
BuchananCounty,0,0,0
ButlerCounty,0,0,0
CaldwellCounty,0,0,0
CallawayCounty,0,0,0
CamdenCounty,0,0,0
CapeGirardeauCounty,0,0,0
CarrollCounty,0,0,0
CarterCounty,0,0,0
CassCounty,0,0,0
CedarCounty,0,0,0
CharitonCounty,0,0,0
ChristianCounty,0,0,0
ClarkCounty,0,0,0
ClayCounty,0,0,0
ClintonCounty,0,0,0
ColeCounty,0,0,0
CooperCounty,0,0,0
CrawfordCounty,0,0,0
DadeCounty,0,0,0
DallasCounty,0,0,0
DaviessCounty,0,0,0
DeKalbCounty,0,0,0
DentCounty,0,0,0
DouglasCounty,0,0,0
DunklinCounty,0,0,0
FranklinCounty,0,0,0
GasconadeCounty,0,0,0
GentryCounty,0,0,0
GreeneCounty,0,0,0
GrundyCounty,0,0,0
HarrisonCounty,0,0,0
HenryCounty,0,0,0
HickoryCounty,0,0,0
HoltCounty,0,0,0
HowardCounty,0,0,0
HowellCounty,0,0,0
IronCounty,0,0,0
JacksonCounty,0,0,0
JasperCounty,0,0,0
JeffersonCounty,0,0,0
JohnsonCounty,0,0,0
KnoxCounty,0,0,0
LacledeCounty,0,0,0
LafayetteCounty,0,0,0
LawrenceCounty,0,0,0
LewisCounty,0,0,0
LincolnCounty,0,0,0
LinnCounty,0,0,0
LivingstonCounty,0,0,0
MaconCounty,0,0,0
MadisonCounty,0,0,0
MariesCounty,0,0,0
MarionCounty,0,0,0
McDonaldCounty,0,0,0
MercerCounty,0,0,0
MillerCounty,0,0,0
MississippiCounty,0,0,0
MoniteauCounty,0,0,0
MonroeCounty,0,0,0
MontgomeryCounty,0,0,0
MorganCounty,0,0,0
NewMadridCounty,0,0,0
NewtonCounty,0,0,0
NodawayCounty,0,0,0
OregonCounty,0,0,0
OsageCounty,0,0,0
OzarkCounty,0,0,0
PemiscotCounty,0,0,0
PerryCounty,0,0,0
PettisCounty,0,0,0
PhelpsCounty,0,0,0
PikeCounty,0,0,0
PlatteCounty,0,0,0
PolkCounty,0,0,0
PulaskiCounty,0,0,0
PutnamCounty,0,0,0
RallsCounty,0,0,0
RandolphCounty,0,0,0
RayCounty,0,0,0
ReynoldsCounty,0,0,0
RipleyCounty,0,0,0
SalineCounty,0,0,0
SchuylerCounty,0,0,0
ScotlandCounty,0,0,0
ScottCounty,0,0,0
ShannonCounty,0,0,0
ShelbyCounty,0,0,0
StCharlesCounty,0,0,0
StClairCounty,0,0,0
StFrancoisCounty,0,0,0
StLouisCounty,0,0,0
StLouiscity,0,0,0
SteGenevieveCounty,0,0,0
StoddardCounty,0,0,0
StoneCounty,0,0,0
SullivanCounty,0,0,0
TaneyCounty,0,0,0
TexasCounty,0,0,0
VernonCounty,0,0,0
WarrenCounty,0,0,0
WashingtonCounty,0,0,0
WayneCounty,0,0,0
WebsterCounty,0,0,0
WorthCounty,0,0,0
WrightCounty,0,0,0
