"County","AdamsCounty","AlcornCounty","AmiteCounty","AttalaCounty","BentonCounty","BolivarCounty","CalhounCounty","CarrollCounty","ChickasawCounty","ChoctawCounty","ClaiborneCounty","ClarkeCounty","ClayCounty","CoahomaCounty","CopiahCounty","CovingtonCounty","DeSotoCounty","ForrestCounty","FranklinCounty","GeorgeCounty","GreeneCounty","GrenadaCounty","HancockCounty","HarrisonCounty","HindsCounty","HolmesCounty","HumphreysCounty","IssaquenaCounty","ItawambaCounty","JacksonCounty","JasperCounty","JeffersonCounty","JeffersonDavisCounty","JonesCounty","KemperCounty","LafayetteCounty","LamarCounty","LauderdaleCounty","LawrenceCounty","LeakeCounty","LeeCounty","LefloreCounty","LincolnCounty","LowndesCounty","MadisonCounty","MarionCounty","MarshallCounty","MonroeCounty","MontgomeryCounty","NeshobaCounty","NewtonCounty","NoxubeeCounty","OktibbehaCounty","PanolaCounty","PearlRiverCounty","PerryCounty","PikeCounty","PontotocCounty","PrentissCounty","QuitmanCounty","RankinCounty","ScottCounty","SharkeyCounty","SimpsonCounty","SmithCounty","StoneCounty","SunflowerCounty","TallahatchieCounty","TateCounty","TippahCounty","TishomingoCounty","TunicaCounty","UnionCounty","WalthallCounty","WarrenCounty","WashingtonCounty","WayneCounty","WebsterCounty","WilkinsonCounty","WinstonCounty","YalobushaCounty","YazooCounty"
"AdamsCounty",11.3,342.9,59.9,181.2,313.5,191.8,253.1,196.4,269.1,210.7,48.5,195.4,253.2,226.9,70.7,120.3,292.9,153.4,34,205.5,204.6,217.2,187.8,211.1,97.4,165.7,148.6,113,315.1,240.1,160.4,28,104.2,149.8,225.6,262.9,143.9,196.4,83.1,157.8,296.7,180.6,62.4,253.7,124.9,113.4,296,277.2,200.6,182.9,170.6,230.8,231.5,258,162.1,169.8,75.4,292.5,330.6,232.8,114.7,151.3,121.7,111,139.7,172.6,185.5,216.4,275.4,321.9,353.3,255.6,299.3,94.3,75.1,156.6,180.2,232.9,31.7,198.3,239.6,132.1
"AlcornCounty",342.9,10.3,342.8,168.8,53.7,191.4,102.7,168.6,83.6,145.4,298.7,212.6,100.7,150.7,273.6,277.3,101.4,290.1,323.3,320,289,138.9,355.5,346.8,252.1,193.8,208.8,253.1,65.7,357.1,242.4,320.4,303.6,252.2,165.7,85.7,294.8,187.3,302.9,187.8,47.5,173.1,298.8,110,224.8,307.7,67.6,84.3,150.1,177.1,201.2,131.8,117.2,116.7,326.3,294.1,324.1,66.6,22.6,130.8,232.6,214,240.3,261.8,241.9,320.8,186.5,147.7,98.1,37.7,28.7,130.5,49.5,327.3,285.2,217.7,248.5,125.6,376.2,149.2,117,229
"AmiteCounty",59.9,342.8,13.9,181.1,313.4,219.8,253,196.3,269,210.6,76.5,174.4,253.1,259.6,70.6,106.9,292.8,107.9,50.1,160,159.1,217.1,142.4,165.6,107.9,165.6,180.8,141,315,194.6,161.4,56.1,90.8,123.1,217.5,262.9,98.4,188.3,69.7,157.7,296.6,204.4,49,253.6,124.8,67.9,295.9,277.1,200.5,182.8,170.6,230.7,231.4,257.9,116.6,124.3,29.9,292.4,330.5,272,114.6,151.2,149.7,110.9,126.3,127.1,220,240.1,275.3,321.8,353.2,288.4,299.2,48.8,103.2,184.7,159.2,232.8,42,198.2,239.5,142.5
"AttalaCounty",181.2,168.8,181.1,14,145.6,113.9,76.6,39.2,81.1,31,134.7,103.9,74.7,123.2,111.9,112.4,135.7,148.4,161.7,189.5,168.7,60,213.9,205.1,88.1,33,69.5,113.8,140.9,234.1,103.5,156.4,126.8,118.9,70.6,105.8,153.1,83.1,141.2,26.1,122.6,68,137.1,79.6,60.8,143.5,138.8,103.1,43.4,45.2,69.3,69.5,52.1,100.8,184.6,164.8,162.4,98.9,156.5,114.9,70.9,52.4,101,100.1,80.2,179.1,94.5,104.7,118.2,138.6,179.1,145,116,158.7,121.2,112.6,139.8,53.1,214.5,39,82.4,65
"BentonCounty",313.5,53.7,313.4,145.6,10.4,156.3,83,133.5,72.5,122.2,263.6,220.8,108.9,115.7,244.2,271.9,62.7,298.3,294,328.2,297.2,101.8,363.8,355,217,158.7,173.7,218,73.8,365.3,250.6,285.3,274,260.4,173.9,50.7,303,195.5,273.5,170.1,55.7,138.1,269.4,118.2,189.7,296.8,26.1,92.5,127.9,161.8,185.9,139.9,125.4,75.2,334.5,302.3,294.8,46.9,50.8,95.8,223.2,196.3,205.2,247.2,224.2,329,151.4,112.6,55.7,23.6,78.1,91.8,32.8,313.6,250.2,182.6,256.7,111.4,346.8,133.9,82,194
"BolivarCounty",191.8,191.4,219.8,113.9,156.3,15.5,101.1,72.9,122.8,128.5,150.9,215.4,147.6,54.7,170.3,212.2,120,248.2,193.9,300.3,286.5,65.2,313.7,304.9,150.5,89,69.6,86.9,175.7,333.9,215,165.2,214.3,236.7,180.7,105.8,252.9,194.6,199.6,137.6,157.3,46.7,195.5,162.3,130.5,237.1,138.8,155.3,85.5,156.7,180.8,174.6,137.4,85.5,284.4,264.6,220.8,135.3,179.1,60.6,163.5,163.9,74.1,187.5,191.7,278.9,34.7,55,105.7,164.7,201.8,83.5,142.1,239.7,118.3,43.9,251.3,113,220.3,145.4,87.6,109.6
"CalhounCounty",253.1,102.7,253,76.6,83,101.1,12.5,73.1,30.3,48.5,203.2,150.7,63.3,100.6,183.8,211.5,101.5,215.2,233.6,252.3,231.5,36.5,280.7,271.9,156.6,98.3,113.3,157.6,78.5,289.4,161.9,224.9,213.6,177.3,100.7,35.7,219.9,126.4,213.1,101.2,58.3,77.6,209,80.4,129.3,236.4,68.7,62.9,56.8,93.2,117.3,94.4,56.1,66.6,251.4,226.4,234.3,36.3,90.4,80.7,145.9,127.4,144.8,186.8,155.3,246,96.2,86,84,76,113.1,110.8,53.4,253.2,189.7,122.2,186.7,28.5,286.4,65.3,35.4,133.5
"CarrollCounty",196.4,168.6,196.3,39.2,133.5,72.9,73.1,13,89.1,63.6,146.5,140.7,82.7,82.2,127.1,154.8,112.9,190.8,176.9,242.9,205.5,37.2,256.3,247.5,99.9,30.9,62.7,107,142,276.5,140.3,168.2,156.8,155.7,107.4,82.9,195.5,119.8,156.4,62.9,123.6,27,152.3,97.4,72.6,179.7,116,114,20.6,82,106.1,109.7,72.5,78,227,207.2,177.6,112.5,156.3,81.3,106.1,89.1,94.2,130.1,117,221.5,53.5,62.8,95.4,141.9,179,111,119.3,196.5,133,71.6,176.6,52.9,229.7,80.5,59.6,73.5
"ChickasawCounty",269.1,83.6,269,81.1,72.5,122.8,30.3,89.1,11.6,57.7,219.2,155.5,43.6,120.2,199.8,191.9,116,233,249.6,262.9,231.9,58.2,298.5,289.7,172.6,114.3,135,179.3,55.8,300.1,185.3,240.9,206.4,195.1,108.7,55.2,237.8,130.3,229.1,105.6,37.4,99.3,225,60.8,145.3,250.6,79.4,37.2,69.5,97.3,121.4,74.7,60.2,86.2,269.2,237,250.3,25.8,71.3,100.3,150.4,131.9,166.5,179.6,159.8,263.8,117.9,107.7,103.5,65.5,94,145.1,42.9,270.2,205.7,143.9,191.5,44.9,302.4,69.4,65.6,149.5
"ChoctawCounty",210.7,145.4,210.6,31,122.2,128.5,48.5,63.6,57.7,10.5,164.2,111.3,51.3,137.9,141.4,141.9,150.4,175.8,191.1,212.9,192.1,68.3,241.3,232.5,117.6,62.4,98.9,143.3,117.6,250.1,122.5,185.9,156.3,137.9,61.3,84,180.6,87,170.7,55.6,99.2,82.7,166.6,56.2,90.2,173,117,79.8,44,53.8,78,55.2,28.8,115.4,212,187,191.9,75.6,133.1,129.6,100.3,81.8,130.5,129.6,109.7,206.6,109.2,119.3,132.8,115.3,155.8,159.6,92.6,188.2,150.7,127.2,147.3,24.9,244,25.9,97,94.5
