"SCTG","Payload","N"
1,11.0593099233386,12
2,19.0760745097869,18
3,11.0248824756233,9
4,7.01696122203696,12
5,17.1552637750519,10
6,3.32286100143633,17
7,9.7292063431392,14
8,10.2941785681165,5
9,12.5303662811142,3
10,12.7559630168912,0
11,14.7601763932821,8
12,20.5247997892159,30
13,14.57148120894,5
14,19.7343283246373,0
15,21.9759244651015,0
16,14.0428921341034,1
17,24.3515448152176,8
18,11.7399553387464,1
19,9.3205966594687,7
20,14.6935220971178,1
21,5.12434471305138,1
22,9.93234871988097,5
23,12.2174191704086,2
24,9.66549316294252,4
25,22.5790323159977,48
26,23.0970751906136,27
27,16.5382555630002,0
28,13.1552492378572,1
29,5.51350467372506,0
30,10.307661585523,2
31,17.9585653946849,29
32,21.621762884496,13
33,9.68028542478338,24
34,16.867893959006,26
35,6.91185118160956,4
36,11.2832607566789,15
37,17.1134794135312,4
38,4.51852664992441,0
39,14.9732710301037,17
40,11.0299088534829,105
41,9.5147280446424,10
43,18.1952038564167,15
99,10.8934974922361,3
