"County","Metropolitan","Town"
"AdamsCounty",0,16.232887544306
"AlcornCounty",0,11.980809539034
"AmiteCounty",0,0
"AttalaCounty",0,5.347491850492
"BentonCounty",0,0
"BolivarCounty",0,8.168425649668
"CalhounCounty",0,0
"CarrollCounty",0,0
"ChickasawCounty",0,2.649984435962
"ChoctawCounty",0,0
"ClaiborneCounty",0,0
"ClarkeCounty",0,0
"ClayCounty",0,6.665008940702
"CoahomaCounty",0,8.499900008198
"CopiahCounty",0,8.139668000504
"CovingtonCounty",0,0
"DeSotoCounty",94.930104914288,0
"ForrestCounty",37.968257934454,0
"FranklinCounty",0,0
"GeorgeCounty",0,2.523722132126
"GreeneCounty",0,0
"GrenadaCounty",0,9.01798750198
"HancockCounty",17.155559354726,5.359320471364
"HarrisonCounty",104.3287565557,0
"HindsCounty",116.609353062124,2.800109773908
"HolmesCounty",0,1.469626220232
"HumphreysCounty",0,2.301475257192
"IssaquenaCounty",0,0
"ItawambaCounty",0,3.376600214516
"JacksonCounty",82.577396523426,3.065946406336
"JasperCounty",0,0
"JeffersonCounty",0,0
"JeffersonDavisCounty",0,0
"JonesCounty",0,19.459517247778
"KemperCounty",0,0
"LafayetteCounty",0,16.042033464686
"LamarCounty",31.029696112854,0
"LauderdaleCounty",0,32.29783384608
"LawrenceCounty",0,0
"LeakeCounty",0,4.151109243456
"LeeCounty",0,51.881806440334
"LefloreCounty",0,15.86913776129
"LincolnCounty",0,8.82570870598
"LowndesCounty",0,29.160239263808
"MadisonCounty",44.229612292134,10.673336506252
"MarionCounty",0,6.559522013282
"MarshallCounty",0,4.366058404488
"MonroeCounty",0,8.417269546974
"MontgomeryCounty",0,3.227054415672
"NeshobaCounty",0,6.916624664266
"NewtonCounty",0,2.912968546814
"NoxubeeCounty",0,2.121641686958
"OktibbehaCounty",0,17.024953017288
"PanolaCounty",0,8.23991282107
"PearlRiverCounty",0,17.348687961228
"PerryCounty",0,0
"PikeCounty",0,12.942770702872
"PontotocCounty",0,5.76046037206
"PrentissCounty",0,5.625328146978
"QuitmanCounty",0,2.446353468958
"RankinCounty",81.648615807162,0
"ScottCounty",0,5.976657028654
"SharkeyCounty",0,0
"SimpsonCounty",0,2.893472712426
"SmithCounty",0,0
"StoneCounty",0,3.692793814192
"SunflowerCounty",0,7.24697044665
"TallahatchieCounty",0,1.923161706736
"TateCounty",0,3.878868337154
"TippahCounty",0,3.228497664948
"TishomingoCounty",0,0
"TunicaCounty",0,1.676708166912
"UnionCounty",0,6.043862714978
"WalthallCounty",0,0
"WarrenCounty",0,24.45737443217
"WashingtonCounty",0,25.545395582396
"WayneCounty",0,4.23967409242
"WebsterCounty",0,0
"WilkinsonCounty",0,0
"WinstonCounty",0,3.900193522818
"YalobushaCounty",0,2.240448747276
"YazooCounty",0,8.579293004152
