Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PkgCost,Gulfport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Gulfport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Gulfport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Gulfport,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Gulfport,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Hattiesburg,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Hattiesburg,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Hattiesburg,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Hattiesburg,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Hattiesburg,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
