"County","FIPS","StateFIPS","CountyFIPS"
"AlamanceCounty",37001,37,1
"AlexanderCounty",37003,37,3
"AlleghanyCounty",37005,37,5
"AnsonCounty",37007,37,7
"AsheCounty",37009,37,9
"AveryCounty",37011,37,11
"BeaufortCounty",37013,37,13
"BertieCounty",37015,37,15
"BladenCounty",37017,37,17
"BrunswickCounty",37019,37,19
"BuncombeCounty",37021,37,21
"BurkeCounty",37023,37,23
"CabarrusCounty",37025,37,25
"CaldwellCounty",37027,37,27
"CamdenCounty",37029,37,29
"CarteretCounty",37031,37,31
"CaswellCounty",37033,37,33
"CatawbaCounty",37035,37,35
"ChathamCounty",37037,37,37
"CherokeeCounty",37039,37,39
"ChowanCounty",37041,37,41
"ClayCounty",37043,37,43
"ClevelandCounty",37045,37,45
"ColumbusCounty",37047,37,47
"CravenCounty",37049,37,49
"CumberlandCounty",37051,37,51
"CurrituckCounty",37053,37,53
"DareCounty",37055,37,55
"DavidsonCounty",37057,37,57
"DavieCounty",37059,37,59
"DuplinCounty",37061,37,61
"DurhamCounty",37063,37,63
"EdgecombeCounty",37065,37,65
"ForsythCounty",37067,37,67
"FranklinCounty",37069,37,69
"GastonCounty",37071,37,71
"GatesCounty",37073,37,73
"GrahamCounty",37075,37,75
"GranvilleCounty",37077,37,77
"GreeneCounty",37079,37,79
"GuilfordCounty",37081,37,81
"HalifaxCounty",37083,37,83
"HarnettCounty",37085,37,85
"HaywoodCounty",37087,37,87
"HendersonCounty",37089,37,89
"HertfordCounty",37091,37,91
"HokeCounty",37093,37,93
"HydeCounty",37095,37,95
"IredellCounty",37097,37,97
"JacksonCounty",37099,37,99
"JohnstonCounty",37101,37,101
"JonesCounty",37103,37,103
"LeeCounty",37105,37,105
"LenoirCounty",37107,37,107
"LincolnCounty",37109,37,109
"McDowellCounty",37111,37,111
"MaconCounty",37113,37,113
"MadisonCounty",37115,37,115
"MartinCounty",37117,37,117
"MecklenburgCounty",37119,37,119
"MitchellCounty",37121,37,121
"MontgomeryCounty",37123,37,123
"MooreCounty",37125,37,125
"NashCounty",37127,37,127
"NewHanoverCounty",37129,37,129
"NorthamptonCounty",37131,37,131
"OnslowCounty",37133,37,133
"OrangeCounty",37135,37,135
"PamlicoCounty",37137,37,137
"PasquotankCounty",37139,37,139
"PenderCounty",37141,37,141
"PerquimansCounty",37143,37,143
"PersonCounty",37145,37,145
"PittCounty",37147,37,147
"PolkCounty",37149,37,149
"RandolphCounty",37151,37,151
"RichmondCounty",37153,37,153
"RobesonCounty",37155,37,155
"RockinghamCounty",37157,37,157
"RowanCounty",37159,37,159
"RutherfordCounty",37161,37,161
"SampsonCounty",37163,37,163
"ScotlandCounty",37165,37,165
"StanlyCounty",37167,37,167
"StokesCounty",37169,37,169
"SurryCounty",37171,37,171
"SwainCounty",37173,37,173
"TransylvaniaCounty",37175,37,175
"TyrrellCounty",37177,37,177
"UnionCounty",37179,37,179
"VanceCounty",37181,37,181
"WakeCounty",37183,37,183
"WarrenCounty",37185,37,185
"WashingtonCounty",37187,37,187
"WataugaCounty",37189,37,189
"WayneCounty",37191,37,191
"WilkesCounty",37193,37,193
"WilsonCounty",37195,37,195
"YadkinCounty",37197,37,197
"YanceyCounty",37199,37,199
