"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AlamanceCounty",65,47,107,2539,8760,2531,8749,711,507,1402,426,1325,458,4120,6428,11428,681,6991,1373,2455
"AlexanderCounty",120,5,25,231,3997,125,874,147,25,208,27,422,12,136,1039,544,42,522,204,1771
"AlleghanyCounty",180,2,9,140,526,20,280,96,21,69,18,75,7,117,283,560,167,180,84,235
"AnsonCounty",253,31,40,150,1327,352,666,128,24,88,20,151,23,395,724,609,7,392,298,1794
"AsheCounty",189,16,31,534,923,366,888,86,87,200,38,82,186,107,764,1038,75,537,120,578
"AveryCounty",112,1,51,328,131,125,668,57,22,48,162,97,2,398,837,866,508,576,455,1343
"BeaufortCounty",618,0,0,520,2841,605,2189,372,156,392,125,329,67,1014,2043,1967,136,1219,423,868
"BertieCounty",496,6,6,94,1879,83,304,99,19,59,4,42,2,374,718,972,26,156,125,283
"BladenCounty",618,0,17,211,5351,228,802,352,4,87,43,138,1,326,882,1152,9,415,108,503
"BrunswickCounty",205,0,998,1747,1219,779,3658,374,315,385,917,1265,9,1412,3005,3772,1623,3600,560,1596
"BuncombeCounty",264,115,462,4721,11203,3596,16097,3425,1519,2614,1368,5611,861,7225,8639,24496,2029,16622,3985,3554
"BurkeCounty",81,23,57,643,9029,651,2651,425,118,354,158,475,49,1107,2503,5242,173,2262,538,1121
"CabarrusCounty",137,48,173,3614,4987,2911,12168,902,690,1189,960,2163,1483,4957,5598,9824,3181,8856,2086,2555
"CaldwellCounty",56,5,103,646,5708,1950,2800,667,143,353,122,380,319,890,2669,3222,159,1660,500,1190
"CamdenCounty",119,0,5,81,16,22,50,31,0,15,2,74,0,147,375,29,0,53,48,121
"CarteretCounty",91,0,133,1045,984,615,3548,345,219,413,506,746,65,892,2200,3005,743,3219,764,1123
"CaswellCounty",75,23,2,147,198,70,275,27,13,43,5,57,4,48,634,299,18,120,63,645
"CatawbaCounty",109,27,368,2195,21994,4699,10462,3400,845,1133,639,2422,1970,6371,5297,9503,806,6694,1660,2903
"ChathamCounty",294,51,56,805,2257,556,2133,299,562,268,93,775,240,656,1435,2267,280,1264,428,718
"CherokeeCounty",60,15,21,413,820,103,1335,49,114,165,68,582,17,117,1007,1220,28,755,172,752
"ChowanCounty",280,0,0,178,465,410,470,192,64,91,30,142,20,66,495,1009,38,344,135,355
"ClayCounty",3,1,0,182,155,29,240,8,4,37,10,32,1,67,255,328,0,186,61,437
"ClevelandCounty",103,44,75,1531,5897,1151,3908,2031,155,585,222,626,116,1950,4356,5393,95,2921,944,1846
"ColumbusCounty",304,0,33,595,2253,419,1929,280,93,384,135,195,237,1323,1685,3001,20,859,279,875
"CravenCounty",322,43,90,1161,3747,733,4036,894,403,547,322,1915,134,2028,3263,6173,534,3518,799,2341
"CumberlandCounty",348,1,325,4261,7233,2261,16648,4204,1394,1781,1618,5734,495,7353,10935,19504,999,13133,2892,4777
"CurrituckCounty",37,37,7,334,52,150,981,48,14,101,476,148,51,604,1226,317,168,541,234,491
"DareCounty",12,4,86,931,498,291,2982,100,174,284,1963,433,22,484,1057,677,333,3567,569,1155
"DavidsonCounty",61,83,143,1731,9313,2240,5743,1386,186,722,339,1005,1374,3085,5092,4721,621,3699,1034,1579
"DavieCounty",28,20,15,541,1882,366,1526,757,12,186,64,267,24,1027,1266,1181,107,896,279,514
"DuplinCounty",2093,1,41,551,5829,392,1631,170,46,231,75,187,1184,422,2119,1685,18,966,299,941
"DurhamCounty",348,12,116,4284,27722,7055,15022,2475,3375,9687,1986,20235,1210,10083,20790,42297,1824,14794,4857,8094
"EdgecombeCounty",509,24,68,779,2859,317,2365,337,549,142,103,309,574,237,1990,2241,34,745,239,809
"ForsythCounty",78,33,168,5620,16027,6021,21050,6222,1795,8940,2026,8306,6510,13131,17788,34618,2162,16758,5137,6992
"FranklinCounty",196,20,55,913,1924,362,1369,181,473,153,42,349,10,474,1375,1324,51,635,291,721
"GastonCounty",32,27,583,2673,14767,2722,9979,1130,550,1192,773,1681,383,5145,6026,12160,453,6953,1904,3424
"GatesCounty",107,0,0,39,109,42,177,31,1,39,3,48,0,19,366,82,0,56,67,136
"GrahamCounty",11,2,38,313,319,31,179,8,7,50,3,35,0,46,170,203,0,276,44,224
"GranvilleCounty",140,3,54,577,4737,264,1468,730,69,213,88,262,9,1322,1452,1891,21,919,195,699
"GreeneCounty",249,0,1,246,211,85,297,47,4,61,38,55,57,65,771,506,25,202,35,221
"GuilfordCounty",288,108,420,9909,32313,18195,31359,15442,5096,12943,3616,11985,6265,26335,20788,34795,3335,24674,6721,10735
"HalifaxCounty",349,0,261,444,2059,255,2308,442,129,262,121,262,98,516,1919,2643,88,1775,384,617
"HarnettCounty",221,37,103,1463,1543,697,3951,590,363,530,240,687,217,1159,4353,3242,178,2472,457,1107
"HaywoodCounty",33,20,87,790,2434,304,2805,91,141,466,175,519,96,517,1929,2551,264,2053,541,1066
"HendersonCounty",785,20,54,1676,4924,1388,4730,472,316,694,301,1024,217,1581,3192,6496,612,3439,941,1115
"HertfordCounty",225,0,93,426,1115,618,1064,121,71,145,89,94,5,429,1117,2034,12,533,195,541
"HokeCounty",103,3,22,394,1900,160,757,146,18,77,77,351,10,271,1309,1025,28,533,140,447
"HydeCounty",147,0,15,106,65,86,129,20,0,14,52,27,22,4,215,81,18,178,22,198
"IredellCounty",367,26,198,3610,10648,3634,9209,2381,526,1207,570,2430,4074,4537,5297,8103,1900,6601,1602,2091
"JacksonCounty",69,29,33,574,347,142,1680,131,120,175,136,442,42,616,1324,1812,3226,2061,237,488
"JohnstonCounty",502,46,76,3184,4999,2050,7072,1253,239,821,404,1183,264,2857,5273,4912,316,4979,1132,2284
"JonesCounty",123,0,0,81,24,105,124,21,2,16,0,18,0,28,231,195,0,45,24,171
"LeeCounty",92,40,98,893,7105,1163,3219,179,84,302,126,484,308,1370,2360,2972,244,1583,421,830
"LenoirCounty",430,7,32,1561,6025,855,2824,565,147,484,186,538,346,1526,2015,3781,129,1914,578,1319
"LincolnCounty",64,23,99,1633,4565,684,2603,723,128,394,101,720,54,1196,1965,1605,292,1875,448,1170
"McDowellCounty",100,81,11,545,5762,287,1649,98,47,204,59,232,9,1055,1461,1587,83,1177,392,547
"MaconCounty",49,30,35,756,777,226,1771,90,176,319,112,1062,40,415,1125,1515,230,1314,377,609
"MadisonCounty",1,19,91,151,416,27,393,26,19,40,12,58,24,68,841,546,73,288,98,393
"MartinCounty",252,0,49,263,1099,158,1027,65,45,269,21,111,24,205,1022,1191,35,745,53,437
"MecklenburgCounty",851,193,2308,29181,33421,42112,63818,31176,21891,55401,11237,49011,28649,58376,36186,74243,13477,54511,15384,14636
"MitchellCounty",8,319,5,199,254,239,595,233,7,89,45,72,47,352,582,821,10,379,95,354
"MontgomeryCounty",153,2,9,439,2611,180,938,111,55,177,30,104,415,375,837,1145,106,379,235,372
"MooreCounty",235,31,145,1439,1718,521,4189,469,343,611,315,1263,536,1440,2782,9285,1235,4561,1016,1319
"NashCounty",712,12,59,1564,7607,2417,5236,587,860,1021,402,1769,837,2555,3718,5848,173,4662,899,2207
"NewHanoverCounty",117,15,198,5209,4503,3650,13204,2449,2746,2596,1797,7407,836,6076,8783,16831,1845,13433,2769,4364
"NorthamptonCounty",242,0,0,159,480,620,1353,195,8,22,10,54,6,69,574,635,15,80,131,478
"OnslowCounty",223,23,340,2746,1085,475,6959,684,330,965,611,1951,321,3605,4942,4703,353,6791,1097,2226
"OrangeCounty",219,22,234,1376,2045,1133,6092,582,751,1223,636,2971,238,1594,22205,14321,653,6125,2050,2311
"PamlicoCounty",50,0,31,162,137,30,373,42,15,22,33,49,1,65,454,432,92,206,195,241
"PasquotankCounty",116,0,47,501,713,486,2195,459,114,369,117,674,55,338,1782,2833,64,1546,636,798
"PenderCounty",395,14,84,955,760,611,1248,133,36,102,216,424,6,412,1422,1468,114,1018,228,786
"PerquimansCounty",49,0,33,65,40,125,196,82,9,28,4,38,0,29,410,117,67,311,62,213
"PersonCounty",84,1,349,492,1210,324,1506,72,86,161,55,257,88,499,1325,1192,89,800,245,773
"PittCounty",615,13,473,2323,6308,1986,8276,599,1082,2095,712,1700,1061,5039,10080,16947,509,8138,1445,3019
"PolkCounty",129,0,1,268,331,112,307,10,62,89,38,156,1,651,635,1362,134,400,127,288
"RandolphCounty",228,39,107,2048,15895,2039,4639,529,289,934,312,670,485,2251,3967,4253,355,3056,1200,1330
"RichmondCounty",174,82,136,538,2651,143,1914,177,79,229,94,255,48,398,1528,1741,74,895,176,728
"RobesonCounty",288,2,130,1251,6528,1220,4650,425,196,1068,132,662,684,1440,4718,7813,119,3375,359,2399
"RockinghamCounty",100,24,112,1275,5814,1294,3784,370,102,514,178,496,268,1498,2328,3163,178,2077,671,1364
