Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtExt,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
