Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PkgCost,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
